,Username,Repo_name,Stars,Repo_url
0,mrdoob,three.js,90000,https://github.com/mrdoob/three.js
1,pmndrs,react-three-fiber,21900,https://github.com/pmndrs/react-three-fiber
2,libgdx,libgdx,21200,https://github.com/libgdx/libgdx
3,BabylonJS,Babylon.js,19600,https://github.com/BabylonJS/Babylon.js
4,ssloy,tinyrenderer,16300,https://github.com/ssloy/tinyrenderer
5,aframevr,aframe,15100,https://github.com/aframevr/aframe
6,lettier,3d-game-shaders-for-beginners,14700,https://github.com/lettier/3d-game-shaders-for-beginners
7,FreeCAD,FreeCAD,13500,https://github.com/FreeCAD/FreeCAD
8,CesiumGS,cesium,10100,https://github.com/CesiumGS/cesium
9,metafizzy,zdog,9600,https://github.com/metafizzy/zdog
10,timzhang642,3D-Machine-Learning,8700,https://github.com/timzhang642/3D-Machine-Learning
11,isl-org,Open3D,8300,https://github.com/isl-org/Open3D
12,blender,blender,7900,https://github.com/blender/blender
13,a1studmuffin,SpaceshipGenerator,7400,https://github.com/a1studmuffin/SpaceshipGenerator
14,domlysz,BlenderGIS,6100,https://github.com/domlysz/BlenderGIS
15,FyroxEngine,Fyrox,6000,https://github.com/FyroxEngine/Fyrox
16,openscad,openscad,5400,https://github.com/openscad/openscad
17,google,model-viewer,5400,https://github.com/google/model-viewer
18,spritejs,spritejs,5100,https://github.com/spritejs/spritejs
19,jagenjo,webglstudio.js,4900,https://github.com/jagenjo/webglstudio.js
20,tensorspace-team,tensorspace,4800,https://github.com/tensorspace-team/tensorspace
21,yfeng95,PRNet,4800,https://github.com/yfeng95/PRNet
22,ssloy,tinyraytracer,4500,https://github.com/ssloy/tinyraytracer
23,AaronJackson,vrn,4500,https://github.com/AaronJackson/vrn
24,tengbao,vanta,4400,https://github.com/tengbao/vanta
25,mosra,magnum,4400,https://github.com/mosra/magnum
26,urho3d,urho3d,4300,https://github.com/urho3d/urho3d
27,gfxfundamentals,webgl-fundamentals,4000,https://github.com/gfxfundamentals/webgl-fundamentals
28,nerfstudio-project,nerfstudio,4000,https://github.com/nerfstudio-project/nerfstudio
29,cnr-isti-vclab,meshlab,3600,https://github.com/cnr-isti-vclab/meshlab
30,vasturiano,3d-force-graph,3400,https://github.com/vasturiano/3d-force-graph
31,ant-galaxy,oasis-engine,3400,https://github.com/ant-galaxy/oasis-engine
32,cleardusk,3DDFA,3400,https://github.com/cleardusk/3DDFA
33,veloren,veloren,3400,https://github.com/veloren/veloren
34,troisjs,trois,3300,https://github.com/troisjs/trois
35,jasonlong,isometric-contributions,3300,https://github.com/jasonlong/isometric-contributions
36,AlmasB,FXGL,3100,https://github.com/AlmasB/FXGL
37,antvis,L7,3000,https://github.com/antvis/L7
38,Kavex,GameDev-Resources,2900,https://github.com/Kavex/GameDev-Resources
39,tinyobjloader,tinyobjloader,2800,https://github.com/tinyobjloader/tinyobjloader
40,armory3d,armory,2700,https://github.com/armory3d/armory
41,huxingyi,dust3d,2600,https://github.com/huxingyi/dust3d
42,dotnet,Silk.NET,2600,https://github.com/dotnet/Silk.NET
43,pissang,claygl,2600,https://github.com/pissang/claygl
44,armory3d,armortools,2600,https://github.com/armory3d/armortools
45,cleardusk,3DDFA_V2,2500,https://github.com/cleardusk/3DDFA_V2
46,agmmnn,awesome-blender,2400,https://github.com/agmmnn/awesome-blender
47,jeeliz,jeelizFaceFilter,2400,https://github.com/jeeliz/jeelizFaceFilter
48,TheMozg,awk-raycaster,2300,https://github.com/TheMozg/awk-raycaster
49,ssloy,tinykaboom,2200,https://github.com/ssloy/tinykaboom
50,zauonlok,renderer,2200,https://github.com/zauonlok/renderer
51,CadQuery,cadquery,2100,https://github.com/CadQuery/cadquery
52,google-research-datasets,Objectron,2100,https://github.com/google-research-datasets/Objectron
53,lgsvl,simulator,2000,https://github.com/lgsvl/simulator
54,skywind3000,mini3d,1900,https://github.com/skywind3000/mini3d
55,hlorus,CAD_Sketcher,1900,https://github.com/hlorus/CAD_Sketcher
56,dragonir,3d,1900,https://github.com/dragonir/3d
57,ekzhang,graphics-workshop,1900,https://github.com/ekzhang/graphics-workshop
58,JannisX11,blockbench,1900,https://github.com/JannisX11/blockbench
59,gildor2,UEViewer,1900,https://github.com/gildor2/UEViewer
60,whxaxes,canvas-test,1800,https://github.com/whxaxes/canvas-test
