,Username,Repo_name,Stars,Repo_url
0,public-apis,public-apis,231000,https://github.com/public-apis/public-apis
1,neovim,neovim,63700,https://github.com/neovim/neovim
2,tiangolo,fastapi,55600,https://github.com/tiangolo/fastapi
3,strapi,strapi,52500,https://github.com/strapi/strapi
4,hoppscotch,hoppscotch,50500,https://github.com/hoppscotch/hoppscotch
5,ocornut,imgui,46100,https://github.com/ocornut/imgui
6,slatedocs,slate,35000,https://github.com/slatedocs/slate
7,meilisearch,meilisearch,34800,https://github.com/meilisearch/meilisearch
8,hasura,graphql-engine,29400,https://github.com/hasura/graphql-engine
9,ccxt,ccxt,27600,https://github.com/ccxt/ccxt
10,Binaryify,NeteaseCloudMusicApi,27300,https://github.com/Binaryify/NeteaseCloudMusicApi
11,Kong,insomnia,27200,https://github.com/Kong/insomnia
12,httpie,httpie,26800,https://github.com/httpie/httpie
13,YMFE,yapi,25800,https://github.com/YMFE/yapi
14,encode,django-rest-framework,25200,https://github.com/encode/django-rest-framework
15,littlecodersh,ItChat,23300,https://github.com/littlecodersh/ItChat
16,trpc,trpc,23100,https://github.com/trpc/trpc
17,microsoft,api-guidelines,21100,https://github.com/microsoft/api-guidelines
18,paularmstrong,normalizr,21000,https://github.com/paularmstrong/normalizr
19,directus,directus,20700,https://github.com/directus/directus
20,shieldfy,API-Security-Checklist,20600,https://github.com/shieldfy/API-Security-Checklist
21,FallibleInc,security-guide-for-developers,20600,https://github.com/FallibleInc/security-guide-for-developers
22,PostgREST,postgrest,20200,https://github.com/PostgREST/postgrest
23,web3,web3.js,17100,https://github.com/web3/web3.js
24,OpenAPITools,openapi-generator,15600,https://github.com/OpenAPITools/openapi-generator
25,learn-anything,learn-anything,14700,https://github.com/learn-anything/learn-anything
26,go-chi,chi,13700,https://github.com/go-chi/chi
27,BrainJS,brain.js,13600,https://github.com/BrainJS/brain.js
28,jsdoc,jsdoc,13600,https://github.com/jsdoc/jsdoc
29,youfou,wxpy,13500,https://github.com/youfou/wxpy
30,fangzesheng,free-api,13000,https://github.com/fangzesheng/free-api
31,bitwarden,server,12200,https://github.com/bitwarden/server
32,mswjs,msw,11900,https://github.com/mswjs/msw
33,graphile,postgraphile,11800,https://github.com/graphile/postgraphile
34,micro,micro,11600,https://github.com/micro/micro
35,postmanlabs,httpbin,11500,https://github.com/postmanlabs/httpbin
36,apache,apisix,11500,https://github.com/apache/apisix
37,star7th,showdoc,11100,https://github.com/star7th/showdoc
38,zealdocs,zeal,10200,https://github.com/zealdocs/zeal
39,r-spacex,SpaceX-API,9800,https://github.com/r-spacex/SpaceX-API
40,ruby-grape,grape,9700,https://github.com/ruby-grape/grape
41,payloadcms,payload,9700,https://github.com/payloadcms/payload
42,pedroslopez,whatsapp-web.js,9600,https://github.com/pedroslopez/whatsapp-web.js
43,amplication,amplication,9400,https://github.com/amplication/amplication
44,lihengming,spring-boot-api-project-seed,9300,https://github.com/lihengming/spring-boot-api-project-seed
45,TonnyL,Awesome_APIs,9000,https://github.com/TonnyL/Awesome_APIs
46,falconry,falcon,9000,https://github.com/falconry/falcon
47,astrit,css.gg,9000,https://github.com/astrit/css.gg
48,Jackett,Jackett,8800,https://github.com/Jackett/Jackett
49,SocialSisterYi,bilibili-API-collect,8700,https://github.com/SocialSisterYi/bilibili-API-collect
50,apex,up,8700,https://github.com/apex/up
51,httpie,http-prompt,8700,https://github.com/httpie/http-prompt
52,gotify,server,8500,https://github.com/gotify/server
53,go-swagger,go-swagger,8500,https://github.com/go-swagger/go-swagger
54,TykTechnologies,tyk,8200,https://github.com/TykTechnologies/tyk
55,FineUploader,fine-uploader,8200,https://github.com/FineUploader/fine-uploader
56,pppscn,SmsForwarder,8200,https://github.com/pppscn/SmsForwarder
57,apitable,apitable,7900,https://github.com/apitable/apitable
58,api-platform,api-platform,7800,https://github.com/api-platform/api-platform
59,MichalLytek,type-graphql,7700,https://github.com/MichalLytek/type-graphql
60,Sylius,Sylius,7300,https://github.com/Sylius/Sylius
61,Kapeli,Dash-iOS,7100,https://github.com/Kapeli/Dash-iOS
62,Urinx,WeixinBot,7000,https://github.com/Urinx/WeixinBot
63,yagop,node-telegram-bot-api,7000,https://github.com/yagop/node-telegram-bot-api
64,oldratlee,translations,6500,https://github.com/oldratlee/translations
65,artilleryio,artillery,6300,https://github.com/artilleryio/artillery
66,eddycjy,go-gin-example,6100,https://github.com/eddycjy/go-gin-example
67,hanami,hanami,6000,https://github.com/hanami/hanami
68,wechat-miniprogram,miniprogram-demo,5900,https://github.com/wechat-miniprogram/miniprogram-demo
69,YaoApp,yao,5700,https://github.com/YaoApp/yao
70,dicebear,dicebear,5700,https://github.com/dicebear/dicebear
71,encode,apistar,5600,https://github.com/encode/apistar
72,ponzu-cms,ponzu,5500,https://github.com/ponzu-cms/ponzu
73,swoft-cloud,swoft,5500,https://github.com/swoft-cloud/swoft
74,graphql-dotnet,graphql-dotnet,5500,https://github.com/graphql-dotnet/graphql-dotnet
75,tumobi,nideshop,5300,https://github.com/tumobi/nideshop
76,qor,qor,5100,https://github.com/qor/qor
77,sammchardy,python-binance,5100,https://github.com/sammchardy/python-binance
78,goadesign,goa,5100,https://github.com/goadesign/goa
79,microsoft,rushstack,4800,https://github.com/microsoft/rushstack
80,typicode,jsonplaceholder,4800,https://github.com/typicode/jsonplaceholder
81,gotenberg,gotenberg,4600,https://github.com/gotenberg/gotenberg
82,mockoon,mockoon,4600,https://github.com/mockoon/mockoon
83,cydrobolt,polr,4600,https://github.com/cydrobolt/polr
84,dr5hn,countries-states-cities-database,4600,https://github.com/dr5hn/countries-states-cities-database
85,webonyx,graphql-php,4500,https://github.com/webonyx/graphql-php
86,loopbackio,loopback-next,4500,https://github.com/loopbackio/loopback-next
87,vendure-ecommerce,vendure,4300,https://github.com/vendure-ecommerce/vendure
88,Kinto,kinto,4300,https://github.com/Kinto/kinto
89,IvanGoncharov,graphql-apis,4200,https://github.com/IvanGoncharov/graphql-apis
90,absinthe-graphql,absinthe,4100,https://github.com/absinthe-graphql/absinthe
91,apiaryio,dredd,4000,https://github.com/apiaryio/dredd
92,coinpride,CryptoList,3900,https://github.com/coinpride/CryptoList
93,LibreTranslate,LibreTranslate,3900,https://github.com/LibreTranslate/LibreTranslate
94,acode,cli,3800,https://github.com/acode/cli
95,ckan,ckan,3700,https://github.com/ckan/ckan
96,kriasoft,relay-starter-kit,3700,https://github.com/kriasoft/relay-starter-kit
97,makenotion,notion-sdk-js,3600,https://github.com/makenotion/notion-sdk-js
98,encoredev,encore,3600,https://github.com/encoredev/encore
99,neuml,txtai,3600,https://github.com/neuml/txtai
