,Username,Repo_name,Stars,Repo_url
0,bitwarden,server,12200,https://github.com/bitwarden/server
1,dotnet,AspNetCore.Docs,11500,https://github.com/dotnet/AspNetCore.Docs
2,aspnetboilerplate,aspnetboilerplate,11000,https://github.com/aspnetboilerplate/aspnetboilerplate
3,abpframework,abp,9600,https://github.com/abpframework/abp
4,nopSolutions,nopCommerce,8000,https://github.com/nopSolutions/nopCommerce
5,ElectronNET,Electron.NET,6600,https://github.com/ElectronNET/Electron.NET
6,thangchung,clean-code-dotnet,5900,https://github.com/thangchung/clean-code-dotnet
7,RicoSuter,NSwag,5800,https://github.com/RicoSuter/NSwag
8,dotnet,aspnet-api-versioning,2700,https://github.com/dotnet/aspnet-api-versioning
9,FastEndpoints,FastEndpoints,2700,https://github.com/FastEndpoints/FastEndpoints
10,smartstore,SmartStoreNET,2600,https://github.com/smartstore/SmartStoreNET
11,JimBobSquarePants,ImageProcessor,2500,https://github.com/JimBobSquarePants/ImageProcessor
12,serenity-is,Serenity,2300,https://github.com/serenity-is/Serenity
13,loic-sharma,BaGet,2300,https://github.com/loic-sharma/BaGet
14,mjebrahimi,Awesome-Microservices-DotNet,2200,https://github.com/mjebrahimi/Awesome-Microservices-DotNet
15,TrilonIO,aspnetcore-angular-universal,1500,https://github.com/TrilonIO/aspnetcore-angular-universal
16,TrilonIO,aspnetcore-Vue-starter,1200,https://github.com/TrilonIO/aspnetcore-Vue-starter
17,MarimerLLC,csla,1100,https://github.com/MarimerLLC/csla
18,antonioCoco,SharPyShell,765,https://github.com/antonioCoco/SharPyShell
19,riganti,dotvvm,669,https://github.com/riganti/dotvvm
20,cornflourblue,aspnet-core-3-jwt-authentication-api,631,https://github.com/cornflourblue/aspnet-core-3-jwt-authentication-api
21,json-api-dotnet,JsonApiDotNetCore,609,https://github.com/json-api-dotnet/JsonApiDotNetCore
22,smartstore,Smartstore,568,https://github.com/smartstore/Smartstore
23,brthor,Gofer.NET,495,https://github.com/brthor/Gofer.NET
24,chsakell,mvcarchitecture,473,https://github.com/chsakell/mvcarchitecture
25,YAFNET,YAFNET,459,https://github.com/YAFNET/YAFNET
26,IvanJosipovic,BlazorTable,449,https://github.com/IvanJosipovic/BlazorTable
27,chsakell,aspnet-core-identity,438,https://github.com/chsakell/aspnet-core-identity
28,Taritsyn,WebMarkupMin,407,https://github.com/Taritsyn/WebMarkupMin
29,SapphireDb,SapphireDb,399,https://github.com/SapphireDb/SapphireDb
30,Maarten88,rrod,381,https://github.com/Maarten88/rrod
31,dotnet,razor,358,https://github.com/dotnet/razor
32,EEParker,aspnetcore-vueclimiddleware,337,https://github.com/EEParker/aspnetcore-vueclimiddleware
33,Shazwazza,Examine,313,https://github.com/Shazwazza/Examine
34,ALMMa,datatables.aspnet,301,https://github.com/ALMMa/datatables.aspnet
35,NLog,NLog.Web,295,https://github.com/NLog/NLog.Web
36,ElectronNET,electron.net-api-demos,285,https://github.com/ElectronNET/electron.net-api-demos
37,cornflourblue,aspnet-core-jwt-authentication-api,282,https://github.com/cornflourblue/aspnet-core-jwt-authentication-api
38,yanpitangui,dotnet-api-boilerplate,278,https://github.com/yanpitangui/dotnet-api-boilerplate
39,natenho,Mockaco,274,https://github.com/natenho/Mockaco
40,grandchamp,Identity.Dapper,257,https://github.com/grandchamp/Identity.Dapper
41,OpenTouryoProject,OpenTouryo,241,https://github.com/OpenTouryoProject/OpenTouryo
42,LayTec-AG,Plotly.Blazor,239,https://github.com/LayTec-AG/Plotly.Blazor
43,tugberkugurlu,AspNetCore.Identity.MongoDB,228,https://github.com/tugberkugurlu/AspNetCore.Identity.MongoDB
44,NickMaev,react-core-boilerplate,213,https://github.com/NickMaev/react-core-boilerplate
45,Shazwazza,Articulate,202,https://github.com/Shazwazza/Articulate
46,dsuryd,dotNetify-react-template,201,https://github.com/dsuryd/dotNetify-react-template
47,aspnetrun,run-aspnet-identityserver4,179,https://github.com/aspnetrun/run-aspnet-identityserver4
48,HNeukermans,ng2-signalr,178,https://github.com/HNeukermans/ng2-signalr
49,EISK,eisk.webapi,157,https://github.com/EISK/eisk.webapi
50,auth0-samples,auth0-aspnetcore-webapi-samples,154,https://github.com/auth0-samples/auth0-aspnetcore-webapi-samples
51,TheUltimateC0der,listrr,150,https://github.com/TheUltimateC0der/listrr
52,moonpyk,mvcdonutcaching,148,https://github.com/moonpyk/mvcdonutcaching
53,serenity-is,serene,142,https://github.com/serenity-is/serene
54,DevExpress,XPO,142,https://github.com/DevExpress/XPO
55,innostudio,fileuploader,136,https://github.com/innostudio/fileuploader
56,MultiTenancyServer,MultiTenancyServer,132,https://github.com/MultiTenancyServer/MultiTenancyServer
57,jpsingleton,Huxley,129,https://github.com/jpsingleton/Huxley
58,auth0-samples,auth0-aspnetcore-mvc-samples,124,https://github.com/auth0-samples/auth0-aspnetcore-mvc-samples
59,matthewblott,simple_aspnet_auth,120,https://github.com/matthewblott/simple_aspnet_auth
60,MindscapeHQ,raygun4net,115,https://github.com/MindscapeHQ/raygun4net
61,elucidsoft,aspnetcore-Vue-starter-signalR,111,https://github.com/elucidsoft/aspnetcore-Vue-starter-signalR
62,aspnetrun,run-aspnet-grpc,106,https://github.com/aspnetrun/run-aspnet-grpc
63,jasonsturges,mysql-dotnet-core,101,https://github.com/jasonsturges/mysql-dotnet-core
64,gabrieldim,TrainTicket-And-Validation,100,https://github.com/gabrieldim/TrainTicket-And-Validation
65,CZEMacLeod,MSBuild.SDK.SystemWeb,99,https://github.com/CZEMacLeod/MSBuild.SDK.SystemWeb
66,dlmelendez,identityazuretable,97,https://github.com/dlmelendez/identityazuretable
67,jasonsturges,postgresql-dotnet-core,96,https://github.com/jasonsturges/postgresql-dotnet-core
68,DevExpress,bootstrap-aspnetcore-starter,80,https://github.com/DevExpress/bootstrap-aspnetcore-starter
69,jamespratt,configuration-service,76,https://github.com/jamespratt/configuration-service
70,cornflourblue,aspnet-core-3-basic-authentication-api,75,https://github.com/cornflourblue/aspnet-core-3-basic-authentication-api
71,riskfirst,riskfirst.hateoas,73,https://github.com/riskfirst/riskfirst.hateoas
72,rqx110,abp-ng-zorro,70,https://github.com/rqx110/abp-ng-zorro
73,ElectronNET,electron.net-musicplayer-sample,63,https://github.com/ElectronNET/electron.net-musicplayer-sample
74,Azure-Samples,azure-sql-db-sync-api-change-tracking,60,https://github.com/Azure-Samples/azure-sql-db-sync-api-change-tracking
75,thangchung,shopping-cart-k8s,58,https://github.com/thangchung/shopping-cart-k8s
76,mihirdilip,aspnetcore-authentication-basic,57,https://github.com/mihirdilip/aspnetcore-authentication-basic
77,sebnilsson,AspNetSeo,55,https://github.com/sebnilsson/AspNetSeo
78,yogyogi,ASP.NET-Core-CMS,53,https://github.com/yogyogi/ASP.NET-Core-CMS
79,henriqb,ReCaptcha-Asp-Net,53,https://github.com/henriqb/ReCaptcha-Asp-Net
80,twilio-labs,twilio-aspnet,52,https://github.com/twilio-labs/twilio-aspnet
81,DevExpress-Examples,XAF_Security_E4908,49,https://github.com/DevExpress-Examples/XAF_Security_E4908
