,Username,Repo_name,Stars,Repo_url
0,ljianshu,Blog,7500,https://github.com/ljianshu/Blog
1,metafizzy,infinite-scroll,7200,https://github.com/metafizzy/infinite-scroll
2,developit,unfetch,5500,https://github.com/developit/unfetch
3,olifolkerd,tabulator,5300,https://github.com/olifolkerd/tabulator
4,jquery-form,form,5200,https://github.com/jquery-form/form
5,Studio-42,elFinder,4400,https://github.com/Studio-42/elFinder
6,elbywan,wretch,3800,https://github.com/elbywan/wretch
7,dwyl,learn-to-send-email-via-google-script-html-no-server,3000,https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server
8,ded,reqwest,2900,https://github.com/ded/reqwest
9,LeaVerou,bliss,2400,https://github.com/LeaVerou/bliss
10,wendux,ajax-hook,2300,https://github.com/wendux/ajax-hook
11,noelboss,featherlight,2100,https://github.com/noelboss/featherlight
12,craftpip,jquery-confirm,1800,https://github.com/craftpip/jquery-confirm
13,ptaoussanis,sente,1700,https://github.com/ptaoussanis/sente
14,nette,tracy,1600,https://github.com/nette/tracy
15,joaomilho,Enterprise,1600,https://github.com/joaomilho/Enterprise
16,loadingio,css-spinner,1500,https://github.com/loadingio/css-spinner
17,k8w,tsrpc,1500,https://github.com/k8w/tsrpc
18,u014427391,jeeplatform,1400,https://github.com/u014427391/jeeplatform
19,codingforentrepreneurs,eCommerce,1400,https://github.com/codingforentrepreneurs/eCommerce
20,MoOx,pjax,1300,https://github.com/MoOx/pjax
21,danielm,uploader,1100,https://github.com/danielm/uploader
22,proyecto26,RestClient,1100,https://github.com/proyecto26/RestClient
23,renderedtext,render_async,1100,https://github.com/renderedtext/render_async
24,swlib,saber,977,https://github.com/swlib/saber
25,opensource-socialnetwork,opensource-socialnetwork,938,https://github.com/opensource-socialnetwork/opensource-socialnetwork
26,webcreate,infinite-ajax-scroll,882,https://github.com/webcreate/infinite-ajax-scroll
27,BetterTyped,hyper-fetch,781,https://github.com/BetterTyped/hyper-fetch
28,rapidjs,rapid.js,710,https://github.com/rapidjs/rapid.js
29,csxiaoyaojianxian,JavaScriptStudy,637,https://github.com/csxiaoyaojianxian/JavaScriptStudy
30,karosLi,KKJSBridge,633,https://github.com/karosLi/KKJSBridge
31,GoogTech,sms-ssm,575,https://github.com/GoogTech/sms-ssm
32,cferdinandi,atomic,544,https://github.com/cferdinandi/atomic
33,Humsen,web,525,https://github.com/Humsen/web
34,anzhihe,Free-Web-Books,510,https://github.com/anzhihe/Free-Web-Books
35,Mevrael,bunny,485,https://github.com/Mevrael/bunny
36,dashborg,hibiki,466,https://github.com/dashborg/hibiki
37,englercj,resource-loader,409,https://github.com/englercj/resource-loader
38,jsGanttImproved,jsgantt-improved,408,https://github.com/jsGanttImproved/jsgantt-improved
39,loadingio,loading-bar,379,https://github.com/loadingio/loading-bar
40,klis87,redux-requests,364,https://github.com/klis87/redux-requests
41,kishan0725,AJAX-Movie-Recommendation-System-with-Sentiment-Analysis,357,https://github.com/kishan0725/AJAX-Movie-Recommendation-System-with-Sentiment-Analysis
42,trco,django-bootstrap-modal-forms,354,https://github.com/trco/django-bootstrap-modal-forms
43,yceruto,django-ajax,323,https://github.com/yceruto/django-ajax
44,tulios,mappersmith,320,https://github.com/tulios/mappersmith
45,maliangnansheng,bbs-ssm,300,https://github.com/maliangnansheng/bbs-ssm
46,davgothic,AjaxFileUpload,299,https://github.com/davgothic/AjaxFileUpload
47,donavon,thwack,272,https://github.com/donavon/thwack
48,GerryIsWarrior,ajax,267,https://github.com/GerryIsWarrior/ajax
49,Yawan-1,StackOverFlow--Clone,265,https://github.com/Yawan-1/StackOverFlow--Clone
50,arthurfiorette,axios-cache-interceptor,254,https://github.com/arthurfiorette/axios-cache-interceptor
51,gowthamand,django-crud-ajax-login-register-fileupload,253,https://github.com/gowthamand/django-crud-ajax-login-register-fileupload
52,msaad1999,KLiK-SocialMediaWebsite,249,https://github.com/msaad1999/KLiK-SocialMediaWebsite
53,iranianpep,ajax-live-search,245,https://github.com/iranianpep/ajax-live-search
54,Zaid-Ajaj,Fable.Remoting,245,https://github.com/Zaid-Ajaj/Fable.Remoting
55,zellwk,zl-fetch,244,https://github.com/zellwk/zl-fetch
56,RobinNixon,lpmj6,242,https://github.com/RobinNixon/lpmj6
57,ronffy,axios-tutorial,240,https://github.com/ronffy/axios-tutorial
58,rnicholus,ajax-form,234,https://github.com/rnicholus/ajax-form
59,BosNaufal,vue2-autocomplete,231,https://github.com/BosNaufal/vue2-autocomplete
60,ember-cli,ember-ajax,217,https://github.com/ember-cli/ember-ajax
61,J2TeamNNL,J2Team-Community,212,https://github.com/J2TeamNNL/J2Team-Community
62,eshengsky,lajax,196,https://github.com/eshengsky/lajax
63,go2ismail,DotnetDesk,189,https://github.com/go2ismail/DotnetDesk
64,pontikis,bs_grid,184,https://github.com/pontikis/bs_grid
65,nabinked,NToastNotify,176,https://github.com/nabinked/NToastNotify
66,stratos-vetsos,react-selectrix,171,https://github.com/stratos-vetsos/react-selectrix
67,amirhamza05,Student-Management-System,169,https://github.com/amirhamza05/Student-Management-System
68,lavyun,better-mock,164,https://github.com/lavyun/better-mock
69,pie6k,jquery.initialize,156,https://github.com/pie6k/jquery.initialize
70,zijianhuang,webapiclientgen,153,https://github.com/zijianhuang/webapiclientgen
71,haxxorsid,stock-management-system,149,https://github.com/haxxorsid/stock-management-system
72,vojtech-dobes,nette.ajax.js,148,https://github.com/vojtech-dobes/nette.ajax.js
73,ryantxu,ajax-panel,138,https://github.com/ryantxu/ajax-panel
74,yiisoft,jquery-pjax,138,https://github.com/yiisoft/jquery-pjax
75,Praful932,Kitabe,138,https://github.com/Praful932/Kitabe
76,JBlaak,Fitted,136,https://github.com/JBlaak/Fitted
77,innostudio,fileuploader,136,https://github.com/innostudio/fileuploader
78,bahdcoder,Laravel-5.3-and-Vue-js-2.0-social-network,136,https://github.com/bahdcoder/Laravel-5.3-and-Vue-js-2.0-social-network
79,nukeviet,nukeviet,135,https://github.com/nukeviet/nukeviet
80,dlerm,shopify-wishlist,134,https://github.com/dlerm/shopify-wishlist
81,ateliee,jquery.schedule,133,https://github.com/ateliee/jquery.schedule
82,Sany07,Job-Portal-Django,131,https://github.com/Sany07/Job-Portal-Django
83,shubham1710,ByteWalk,131,https://github.com/shubham1710/ByteWalk
84,philippfrenzel,yii2fullcalendar,128,https://github.com/philippfrenzel/yii2fullcalendar
85,ftgibran,vue-api-request,128,https://github.com/ftgibran/vue-api-request
86,jbaysolutions,vue2-bootstrap-table,123,https://github.com/jbaysolutions/vue2-bootstrap-table
87,vin-ni,PixelWave,123,https://github.com/vin-ni/PixelWave
88,RickWong,fetch-plus,121,https://github.com/RickWong/fetch-plus
89,shahroznawaz,php-notifications,119,https://github.com/shahroznawaz/php-notifications
90,harismuneer,Flight-Booking-System-JavaServlets_App,117,https://github.com/harismuneer/Flight-Booking-System-JavaServlets_App
91,girishsaraf,Online-Appointment-Booking-System,115,https://github.com/girishsaraf/Online-Appointment-Booking-System
92,alanjones2,Flask-Plotly,112,https://github.com/alanjones2/Flask-Plotly
93,Ilogeek,redmine_issue_dynamic_edit,111,https://github.com/Ilogeek/redmine_issue_dynamic_edit
94,kylelobo,Hydroponics,110,https://github.com/kylelobo/Hydroponics
95,risul3,laravel-like-comment,109,https://github.com/risul3/laravel-like-comment
96,putyourlightson,craft-sprig,109,https://github.com/putyourlightson/craft-sprig
97,yadavanuj1996,freecodecamp-solutions,108,https://github.com/yadavanuj1996/freecodecamp-solutions
98,jchristopher,searchwp-live-ajax-search,106,https://github.com/jchristopher/searchwp-live-ajax-search
99,Elkfox,Ajaxinate,106,https://github.com/Elkfox/Ajaxinate
