,Username,Repo_name,Stars,Repo_url
0,jwasham,coding-interview-university,252000,https://github.com/jwasham/coding-interview-university
1,trekhleb,javascript-algorithms,165000,https://github.com/trekhleb/javascript-algorithms
2,CyC2018,CS-Notes,163000,https://github.com/CyC2018/CS-Notes
3,TheAlgorithms,Python,156000,https://github.com/TheAlgorithms/Python
4,yangshun,tech-interview-handbook,87400,https://github.com/yangshun/tech-interview-handbook
5,kdn251,interviews,59400,https://github.com/kdn251/interviews
6,azl397985856,leetcode,50800,https://github.com/azl397985856/leetcode
7,TheAlgorithms,Java,50800,https://github.com/TheAlgorithms/Java
8,algorithm-visualizer,algorithm-visualizer,42500,https://github.com/algorithm-visualizer/algorithm-visualizer
9,youngyangyang04,leetcode-master,36600,https://github.com/youngyangyang04/leetcode-master
10,halfrost,LeetCode-Go,29300,https://github.com/halfrost/LeetCode-Go
11,huihut,interview,28000,https://github.com/huihut/interview
12,donnemartin,interactive-coding-challenges,27100,https://github.com/donnemartin/interactive-coding-challenges
13,crossoverJie,JCSprout,27000,https://github.com/crossoverJie/JCSprout
14,TheAlgorithms,JavaScript,25800,https://github.com/TheAlgorithms/JavaScript
15,TheAlgorithms,C-Plus-Plus,23600,https://github.com/TheAlgorithms/C-Plus-Plus
16,keon,algorithms,22300,https://github.com/keon/algorithms
17,trekhleb,homemade-machine-learning,21100,https://github.com/trekhleb/homemade-machine-learning
18,mxgmn,WaveFunctionCollapse,20900,https://github.com/mxgmn/WaveFunctionCollapse
19,AtsushiSakai,PythonRobotics,17800,https://github.com/AtsushiSakai/PythonRobotics
20,williamfiset,Algorithms,14500,https://github.com/williamfiset/Algorithms
21,greyireland,algorithm-pattern,14000,https://github.com/greyireland/algorithm-pattern
22,OpenGenus,cosmos,13300,https://github.com/OpenGenus/cosmos
23,halfrost,Halfrost-Field,11900,https://github.com/halfrost/Halfrost-Field
24,lnishan,awesome-competitive-programming,11000,https://github.com/lnishan/awesome-competitive-programming
25,apachecn,apachecn-algo-zh,10700,https://github.com/apachecn/apachecn-algo-zh
26,gyoogle,tech-interview-for-developer,10000,https://github.com/gyoogle/tech-interview-for-developer
27,krahets,hello-algo,8900,https://github.com/krahets/hello-algo
28,Blankj,awesome-java-leetcode,8500,https://github.com/Blankj/awesome-java-leetcode
29,Alinshans,MyTinySTL,8400,https://github.com/Alinshans/MyTinySTL
30,Turfjs,turf,7900,https://github.com/Turfjs/turf
31,LeetCode-OpenSource,vscode-leetcode,7700,https://github.com/LeetCode-OpenSource/vscode-leetcode
32,jeffgerickson,algorithms,7700,https://github.com/jeffgerickson/algorithms
33,mgechev,javascript-algorithms,7600,https://github.com/mgechev/javascript-algorithms
34,OlafenwaMoses,ImageAI,7600,https://github.com/OlafenwaMoses/ImageAI
35,QuantConnect,Lean,7200,https://github.com/QuantConnect/Lean
36,nonstriater,Learn-Algorithms,7200,https://github.com/nonstriater/Learn-Algorithms
37,amejiarosario,dsa.js-data-structures-algorithms-javascript,7200,https://github.com/amejiarosario/dsa.js-data-structures-algorithms-javascript
38,twowaits,SDE-Interview-Questions,6500,https://github.com/twowaits/SDE-Interview-Questions
39,SharingSource,LogicStack-LeetCode,6100,https://github.com/SharingSource/LogicStack-LeetCode
40,tangyudi,Ai-Learn,5900,https://github.com/tangyudi/Ai-Learn
41,zhanwen,MathModel,5400,https://github.com/zhanwen/MathModel
42,mandliya,algorithms_and_data_structures,5300,https://github.com/mandliya/algorithms_and_data_structures
43,TheAlgorithms,C-Sharp,5200,https://github.com/TheAlgorithms/C-Sharp
44,teivah,algodeck,5000,https://github.com/teivah/algodeck
45,hustcc,JS-Sorting-Algorithm,4900,https://github.com/hustcc/JS-Sorting-Algorithm
46,apple,swift-algorithms,4900,https://github.com/apple/swift-algorithms
47,FederatedAI,FATE,4900,https://github.com/FederatedAI/FATE
48,soapyigu,LeetCode-Swift,4600,https://github.com/soapyigu/LeetCode-Swift
49,awangdev,leet-code,4300,https://github.com/awangdev/leet-code
50,tboox,tbox,4300,https://github.com/tboox/tbox
51,phishman3579,java-algorithms-implementation,4200,https://github.com/phishman3579/java-algorithms-implementation
52,vicky002,AlgoWiki,4100,https://github.com/vicky002/AlgoWiki
53,loiane,javascript-datastructures-algorithms,4100,https://github.com/loiane/javascript-datastructures-algorithms
54,kamyu104,LeetCode-Solutions,3900,https://github.com/kamyu104/LeetCode-Solutions
55,zotroneneis,machine_learning_basics,3900,https://github.com/zotroneneis/machine_learning_basics
56,royeo,awesome-programming-books,3900,https://github.com/royeo/awesome-programming-books
57,attractivechaos,klib,3700,https://github.com/attractivechaos/klib
58,anthonynsimon,bild,3700,https://github.com/anthonynsimon/bild
59,fishercoder1534,Leetcode,3500,https://github.com/fishercoder1534/Leetcode
60,liyupi,mianshiya-public,3500,https://github.com/liyupi/mianshiya-public
61,billryan,algorithm-exercise,3400,https://github.com/billryan/algorithm-exercise
62,EbTech,rust-algorithms,3300,https://github.com/EbTech/rust-algorithms
63,kylesliu,awesome-golang-algorithm,3300,https://github.com/kylesliu/awesome-golang-algorithm
64,ra1028,DifferenceKit,3300,https://github.com/ra1028/DifferenceKit
65,liyupi,code-roadmap,3300,https://github.com/liyupi/code-roadmap
66,sagivo,algorithms,3300,https://github.com/sagivo/algorithms
67,shuzijun,leetcode-editor,3100,https://github.com/shuzijun/leetcode-editor
68,life4,textdistance,3100,https://github.com/life4/textdistance
69,huihut,CS-Books,3100,https://github.com/huihut/CS-Books
70,kangjianwei,Data-Structure,2900,https://github.com/kangjianwei/Data-Structure
71,fragglet,c-algorithms,2900,https://github.com/fragglet/c-algorithms
72,ninechapter-algorithm,leetcode-linghu-templete,2900,https://github.com/ninechapter-algorithm/leetcode-linghu-templete
73,anvaka,ngraph.path,2800,https://github.com/anvaka/ngraph.path
74,skidding,illustrated-algorithms,2800,https://github.com/skidding/illustrated-algorithms
75,sweetice,Deep-reinforcement-learning-with-pytorch,2700,https://github.com/sweetice/Deep-reinforcement-learning-with-pytorch
76,ua-nick,Data-Structures-and-Algorithms,2600,https://github.com/ua-nick/Data-Structures-and-Algorithms
77,itcharge,LeetCode-Py,2600,https://github.com/itcharge/LeetCode-Py
78,tdebatty,java-string-similarity,2600,https://github.com/tdebatty/java-string-similarity
79,yangshun,lago,2500,https://github.com/yangshun/lago
80,azl397985856,fe-interview,2500,https://github.com/azl397985856/fe-interview
81,PegasusWang,python_data_structures_and_algorithms,2500,https://github.com/PegasusWang/python_data_structures_and_algorithms
82,TheAlgorithms,Algorithms-Explanation,2400,https://github.com/TheAlgorithms/Algorithms-Explanation
83,EvgenyKarkan,EKAlgorithms,2400,https://github.com/EvgenyKarkan/EKAlgorithms
84,liyupi,code-nav,2300,https://github.com/liyupi/code-nav
85,hora-search,hora,2300,https://github.com/hora-search/hora
86,mithi,robotics-coursework,2200,https://github.com/mithi/robotics-coursework
87,algorithm-archivists,algorithm-archive,2100,https://github.com/algorithm-archivists/algorithm-archive
88,jainaman224,Algo_Ds_Notes,2100,https://github.com/jainaman224/Algo_Ds_Notes
89,mourner,rbush,2100,https://github.com/mourner/rbush
90,jimmysuncpt,Algorithms,2100,https://github.com/jimmysuncpt/Algorithms
