,Username,Repo_name,Stars,Repo_url
0,localstack,localstack,46300,https://github.com/localstack/localstack
1,serverless,serverless,44400,https://github.com/serverless/serverless
2,bregman-arie,devops-exercises,41500,https://github.com/bregman-arie/devops-exercises
3,donnemartin,data-science-ipython-notebooks,24800,https://github.com/donnemartin/data-science-ipython-notebooks
4,pulumi,pulumi,15400,https://github.com/pulumi/pulumi
5,ramitsurana,awesome-kubernetes,13700,https://github.com/ramitsurana/awesome-kubernetes
6,kubernetes-sigs,kubespray,13700,https://github.com/kubernetes-sigs/kubespray
7,aws,aws-cli,13500,https://github.com/aws/aws-cli
8,serverless-stack,sst,12500,https://github.com/serverless-stack/sst
9,mozilla,sops,12400,https://github.com/mozilla/sops
10,donnemartin,awesome-aws,11300,https://github.com/donnemartin/awesome-aws
11,caprover,caprover,10100,https://github.com/caprover/caprover
12,apereo,cas,10000,https://github.com/apereo/cas
13,aws,aws-cdk,10000,https://github.com/aws/aws-cdk
14,GoogleCloudPlatform,terraformer,9800,https://github.com/GoogleCloudPlatform/terraformer
15,aws,chalice,9600,https://github.com/aws/chalice
16,aws-amplify,amplify-js,9100,https://github.com/aws-amplify/amplify-js
17,aws,serverless-application-model,8900,https://github.com/aws/serverless-application-model
18,google,go-cloud,8900,https://github.com/google/go-cloud
19,infracost,infracost,8800,https://github.com/infracost/infracost
20,apex,up,8700,https://github.com/apex/up
21,hashicorp,terraform-provider-aws,8300,https://github.com/hashicorp/terraform-provider-aws
22,aws,aws-sdk-go,8200,https://github.com/aws/aws-sdk-go
23,aws,amazon-sagemaker-examples,8000,https://github.com/aws/amazon-sagemaker-examples
24,boto,boto3,8000,https://github.com/boto/boto3
25,prowler-cloud,prowler,7900,https://github.com/prowler-cloud/prowler
26,99designs,aws-vault,7300,https://github.com/99designs/aws-vault
27,aws,aws-sdk-js,7300,https://github.com/aws/aws-sdk-js
28,awsdocs,aws-doc-sdk-examples,7300,https://github.com/awsdocs/aws-doc-sdk-examples
29,awslabs,aws-shell,6800,https://github.com/awslabs/aws-shell
30,geerlingguy,ansible-for-devops,6700,https://github.com/geerlingguy/ansible-for-devops
31,gruntwork-io,terratest,6700,https://github.com/gruntwork-io/terratest
32,bregman-arie,devops-resources,6700,https://github.com/bregman-arie/devops-resources
33,getmoto,moto,6700,https://github.com/getmoto/moto
34,gruntwork-io,terragrunt,6700,https://github.com/gruntwork-io/terragrunt
35,midwayjs,midway,6500,https://github.com/midwayjs/midway
36,Netflix,metaflow,6500,https://github.com/Netflix/metaflow
37,webiny,webiny-js,6500,https://github.com/webiny/webiny-js
38,aws,aws-sam-cli,6200,https://github.com/aws/aws-sam-cli
39,kubernetes-sigs,external-dns,6200,https://github.com/kubernetes-sigs/external-dns
40,donnemartin,dev-setup,5900,https://github.com/donnemartin/dev-setup
41,aquasecurity,tfsec,5700,https://github.com/aquasecurity/tfsec
42,budtmo,docker-android,5500,https://github.com/budtmo/docker-android
43,duo-labs,cloudmapper,5400,https://github.com/duo-labs/cloudmapper
44,bridgecrewio,checkov,5400,https://github.com/bridgecrewio/checkov
45,nccgroup,ScoutSuite,5200,https://github.com/nccgroup/ScoutSuite
46,donnemartin,saws,5100,https://github.com/donnemartin/saws
47,prakhar1989,docker-curriculum,5000,https://github.com/prakhar1989/docker-curriculum
48,turbot,steampipe,5000,https://github.com/turbot/steampipe
49,wallix,awless,4900,https://github.com/wallix/awless
50,apptension,developer-handbook,4900,https://github.com/apptension/developer-handbook
