,Username,Repo_name,Stars,Repo_url
0,amphp,amp,3900,https://github.com/amphp/amp
1,danog,MadelineProto,2300,https://github.com/danog/MadelineProto
2,amphp,http-server,1200,https://github.com/amphp/http-server
3,unreal4u,telegram-api,753,https://github.com/unreal4u/telegram-api
4,amphp,parallel,651,https://github.com/amphp/parallel
5,amphp,http-client,648,https://github.com/amphp/http-client
6,php-service-bus,service-bus,337,https://github.com/php-service-bus/service-bus
7,amphp,byte-stream,324,https://github.com/amphp/byte-stream
8,amphp,mysql,305,https://github.com/amphp/mysql
9,amphp,parallel-functions,240,https://github.com/amphp/parallel-functions
10,amphp,process,211,https://github.com/amphp/process
11,amphp,socket,190,https://github.com/amphp/socket
12,amphp,redis,136,https://github.com/amphp/redis
13,amphp,sync,134,https://github.com/amphp/sync
14,amphp,dns,132,https://github.com/amphp/dns
15,kelunik,acme,117,https://github.com/kelunik/acme
16,amphp,websocket-client,116,https://github.com/amphp/websocket-client
17,amphp,serialization,96,https://github.com/amphp/serialization
18,PeeHaa,mailgrab,92,https://github.com/PeeHaa/mailgrab
19,amphp,websocket-server,91,https://github.com/amphp/websocket-server
20,amphp,cache,87,https://github.com/amphp/cache
21,amphp,windows-registry,85,https://github.com/amphp/windows-registry
22,amphp,hpack,82,https://github.com/amphp/hpack
23,amphp,file,82,https://github.com/amphp/file
24,jolicode,asynit,76,https://github.com/jolicode/asynit
25,amphp,postgres,73,https://github.com/amphp/postgres
26,amphp,beanstalk,62,https://github.com/amphp/beanstalk
27,phpinnacle,ridge,50,https://github.com/phpinnacle/ridge
28,amphp,aerys,49,https://github.com/amphp/aerys
29,wind-framework,wind-framework,48,https://github.com/wind-framework/wind-framework
30,amphp,cluster,47,https://github.com/amphp/cluster
31,Room-11,Jeeves,42,https://github.com/Room-11/Jeeves
32,amphp,getting-started,36,https://github.com/amphp/getting-started
33,amphp,http-server-router,34,https://github.com/amphp/http-server-router
34,ekinhbayar,gitamp,30,https://github.com/ekinhbayar/gitamp
35,webgriffe,esb,30,https://github.com/webgriffe/esb
36,amphp,ssh,30,https://github.com/amphp/ssh
37,amphp,log,28,https://github.com/amphp/log
38,amphp,amphp.github.io,23,https://github.com/amphp/amphp.github.io
39,amphp,react-adapter,22,https://github.com/amphp/react-adapter
40,amphp,websocket,21,https://github.com/amphp/websocket
41,amphp,artax,21,https://github.com/amphp/artax
42,amphp,phpunit-util,20,https://github.com/amphp/phpunit-util
43,amphp,http-server-static-content,20,https://github.com/amphp/http-server-static-content
44,kelunik,demo-chat,19,https://github.com/kelunik/demo-chat
45,kelunik,streaming-json,16,https://github.com/kelunik/streaming-json
46,amphp,http-server-session,15,https://github.com/amphp/http-server-session
47,ShiSHcat,uploadgram-v1,14,https://github.com/ShiSHcat/uploadgram-v1
48,kelunik,retry,14,https://github.com/kelunik/retry
49,realGuys,MadelineProtoPluginSystem,14,https://github.com/realGuys/MadelineProtoPluginSystem
50,labrador-kennel,async-unit,14,https://github.com/labrador-kennel/async-unit
51,amphp,aerys-reverse,14,https://github.com/amphp/aerys-reverse
52,amphp,sql,13,https://github.com/amphp/sql
53,amphp,http-server-form-parser,13,https://github.com/amphp/http-server-form-parser
54,labrador-kennel,core,12,https://github.com/labrador-kennel/core
55,darkwood-fr,flow,12,https://github.com/darkwood-fr/flow
56,dbalabka,aerys-benchmark,12,https://github.com/dbalabka/aerys-benchmark
57,kelunik,amphp-arduino,11,https://github.com/kelunik/amphp-arduino
58,Mirocow,yii2-queue,11,https://github.com/Mirocow/yii2-queue
59,amphp,loop,11,https://github.com/amphp/loop
60,amphp,loop,11,https://github.com/amphp/loop
61,thgs,awesome-amphp,11,https://github.com/thgs/awesome-amphp
62,kelunik,rate-limit,10,https://github.com/kelunik/rate-limit
63,phpinnacle,cassis,10,https://github.com/phpinnacle/cassis
64,kelunik,mellon,10,https://github.com/kelunik/mellon
65,PeeHaa,async-virus-scan,8,https://github.com/PeeHaa/async-virus-scan
66,amphp,http-client-cache,7,https://github.com/amphp/http-client-cache
67,kelunik,redis-mutex,7,https://github.com/kelunik/redis-mutex
68,PeeHaa,AsyncTwitter,7,https://github.com/PeeHaa/AsyncTwitter
69,hdogan,asenkron-php-demo,7,https://github.com/hdogan/asenkron-php-demo
70,eislambey,amp-mercure-publisher,6,https://github.com/eislambey/amp-mercure-publisher
71,cspray,websocket-commands,6,https://github.com/cspray/websocket-commands
72,amphp,http-client-psr7,6,https://github.com/amphp/http-client-psr7
73,noerosell,awsyncronic,6,https://github.com/noerosell/awsyncronic
74,spacetab-io,docker-amphp-php,6,https://github.com/spacetab-io/docker-amphp-php
75,xtrime-ru,http-proxy,6,https://github.com/xtrime-ru/http-proxy
76,labrador-kennel,http-cors,6,https://github.com/labrador-kennel/http-cors
77,amphp,php-cs-fixer-config,6,https://github.com/amphp/php-cs-fixer-config
78,dbalabka,dag,5,https://github.com/dbalabka/dag
79,markkimsal,amphp-mqtt,5,https://github.com/markkimsal/amphp-mqtt
80,Pato05,amphp-clamav,5,https://github.com/Pato05/amphp-clamav
81,amphp,react-stream-adapter,5,https://github.com/amphp/react-stream-adapter
82,HarmonyIO,Validation,5,https://github.com/HarmonyIO/Validation
83,logicalsteps,async,4,https://github.com/logicalsteps/async
84,kelunik,rpc-demo,4,https://github.com/kelunik/rpc-demo
85,spacetab-io,wkhtmltopdf-php,4,https://github.com/spacetab-io/wkhtmltopdf-php
86,labrador-kennel,http,4,https://github.com/labrador-kennel/http
87,kelunik,oauth,3,https://github.com/kelunik/oauth
88,ShiSHcat,dwgram,3,https://github.com/ShiSHcat/dwgram
89,labrador-kennel,async-event,3,https://github.com/labrador-kennel/async-event
90,PeeHaa,async-chatter-bot,3,https://github.com/PeeHaa/async-chatter-bot
91,spacetab-io,rdb-php,3,https://github.com/spacetab-io/rdb-php
92,tuefekci,blkholePHP,3,https://github.com/tuefekci/blkholePHP
93,n1215,grpc-web-chat,3,https://github.com/n1215/grpc-web-chat
94,ShiSHcat,ShiSHtransfer,3,https://github.com/ShiSHcat/ShiSHtransfer
95,webgriffe,amp-elasticsearch,3,https://github.com/webgriffe/amp-elasticsearch
96,danog,ipc,3,https://github.com/danog/ipc
97,kelunik,streaming-hash,3,https://github.com/kelunik/streaming-hash
98,ShiSHcat,DWPages,3,https://github.com/ShiSHcat/DWPages
99,mahmoudmohamedramadan,Awesome-PHP,3,https://github.com/mahmoudmohamedramadan/Awesome-PHP
