,Username,Repo_name,Stars,Repo_url
0,flutter,flutter,151000,https://github.com/flutter/flutter
1,facebook,react-native,108000,https://github.com/facebook/react-native
2,justjavac,free-programming-books-zh_CN,101000,https://github.com/justjavac/free-programming-books-zh_CN
3,Genymobile,scrcpy,79300,https://github.com/Genymobile/scrcpy
4,Hack-with-Github,Awesome-Hacking,62700,https://github.com/Hack-with-Github/Awesome-Hacking
5,google,material-design-icons,47700,https://github.com/google/material-design-icons
6,Solido,awesome-flutter,45900,https://github.com/Solido/awesome-flutter
7,wasabeef,awesome-android-ui,45800,https://github.com/wasabeef/awesome-android-ui
8,square,okhttp,43700,https://github.com/square/okhttp
9,android,architecture-samples,42400,https://github.com/android/architecture-samples
10,square,retrofit,41300,https://github.com/square/retrofit
11,dcloudio,uni-app,37800,https://github.com/dcloudio/uni-app
12,fastlane,fastlane,36800,https://github.com/fastlane/fastlane
13,PhilJay,MPAndroidChart,36200,https://github.com/PhilJay/MPAndroidChart
14,laurent22,joplin,35000,https://github.com/laurent22/joplin
15,skylot,jadx,33800,https://github.com/skylot/jadx
16,airbnb,lottie-android,33700,https://github.com/airbnb/lottie-android
17,shadowsocks,shadowsocks-android,33500,https://github.com/shadowsocks/shadowsocks-android
18,bumptech,glide,33400,https://github.com/bumptech/glide
19,xitu,gold-miner,32000,https://github.com/xitu/gold-miner
20,Blankj,AndroidUtilCode,32000,https://github.com/Blankj/AndroidUtilCode
21,bilibili,ijkplayer,31200,https://github.com/bilibili/ijkplayer
22,Trinea,android-open-project,31200,https://github.com/Trinea/android-open-project
23,zxing,zxing,30800,https://github.com/zxing/zxing
24,appwrite,appwrite,29900,https://github.com/appwrite/appwrite
25,square,leakcanary,28300,https://github.com/square/leakcanary
26,codepath,android_guides,28100,https://github.com/codepath/android_guides
27,alibaba,fastjson,25200,https://github.com/alibaba/fastjson
28,scwang90,SmartRefreshLayout,24100,https://github.com/scwang90/SmartRefreshLayout
29,CymChad,BaseRecyclerViewAdapterHelper,23400,https://github.com/CymChad/BaseRecyclerViewAdapterHelper
30,react-native-elements,react-native-elements,23400,https://github.com/react-native-elements/react-native-elements
31,quasarframework,quasar,23100,https://github.com/quasarframework/quasar
32,TeamNewPipe,NewPipe,23100,https://github.com/TeamNewPipe/NewPipe
33,NativeScript,NativeScript,22300,https://github.com/NativeScript/NativeScript
34,google,iosched,21700,https://github.com/google/iosched
35,tachiyomiorg,tachiyomi,21600,https://github.com/tachiyomiorg/tachiyomi
36,libgdx,libgdx,21200,https://github.com/libgdx/libgdx
37,google,mediapipe,21000,https://github.com/google/mediapipe
38,google,ExoPlayer,20500,https://github.com/google/ExoPlayer
39,futurice,android-best-practices,20300,https://github.com/futurice/android-best-practices
40,termux,termux-app,20100,https://github.com/termux/termux-app
41,2dust,v2rayNG,20000,https://github.com/2dust/v2rayNG
42,fyne-io,fyne,19800,https://github.com/fyne-io/fyne
43,expo,expo,19600,https://github.com/expo/expo
44,afollestad,material-dialogs,19500,https://github.com/afollestad/material-dialogs
45,didi,DoKit,19400,https://github.com/didi/DoKit
46,GeekyAnts,NativeBase,19100,https://github.com/GeekyAnts/NativeBase
47,CarGuo,GSYVideoPlayer,18400,https://github.com/CarGuo/GSYVideoPlayer
48,iampawan,FlutterExampleApps,18200,https://github.com/iampawan/FlutterExampleApps
49,alibaba,weex,18100,https://github.com/alibaba/weex
50,google,flexbox-layout,17800,https://github.com/google/flexbox-layout
51,Anuken,Mindustry,17400,https://github.com/Anuken/Mindustry
52,AvaloniaUI,Avalonia,17300,https://github.com/AvaloniaUI/Avalonia
53,framework7io,framework7,17100,https://github.com/framework7io/framework7
54,cocos2d,cocos2d-x,16900,https://github.com/cocos2d/cocos2d-x
55,flutter,plugins,16800,https://github.com/flutter/plugins
56,Tencent,tinker,16700,https://github.com/Tencent/tinker
57,Tencent,ncnn,16700,https://github.com/Tencent/ncnn
58,appium,appium,16100,https://github.com/appium/appium
59,jarun,nnn,16000,https://github.com/jarun/nnn
60,Kotlin,anko,15900,https://github.com/Kotlin/anko
61,iBotPeaches,Apktool,15900,https://github.com/iBotPeaches/Apktool
62,kivy,kivy,15600,https://github.com/kivy/kivy
63,Tencent,MMKV,15600,https://github.com/Tencent/MMKV
64,xbmc,xbmc,15500,https://github.com/xbmc/xbmc
65,google,filament,15400,https://github.com/google/filament
66,android10,Android-CleanArchitecture,15300,https://github.com/android10/Android-CleanArchitecture
67,dipakkr,A-to-Z-Resources-for-Students,15100,https://github.com/dipakkr/A-to-Z-Resources-for-Students
68,android,compose-samples,15100,https://github.com/android/compose-samples
69,material-components,material-components-android,14700,https://github.com/material-components/material-components-android
70,hdodenhof,CircleImageView,14400,https://github.com/hdodenhof/CircleImageView
71,android-hacker,VirtualXposed,14200,https://github.com/android-hacker/VirtualXposed
72,alibaba,ARouter,14100,https://github.com/alibaba/ARouter
73,Tencent,QMUI_Android,14000,https://github.com/Tencent/QMUI_Android
