,Username,Repo_name,Stars,Repo_url
0,justjavac,free-programming-books-zh_CN,101000,https://github.com/justjavac/free-programming-books-zh_CN
1,angular,angular,87000,https://github.com/angular/angular
2,storybookjs,storybook,77600,https://github.com/storybookjs/storybook
3,leonardomso,33-js-concepts,55500,https://github.com/leonardomso/33-js-concepts
4,ionic-team,ionic-framework,48800,https://github.com/ionic-team/ionic-framework
5,prettier,prettier,45100,https://github.com/prettier/prettier
6,Asabeneh,30-Days-Of-JavaScript,34300,https://github.com/Asabeneh/30-Days-Of-JavaScript
7,SheetJS,sheetjs,32400,https://github.com/SheetJS/sheetjs
8,angular,angular-cli,26000,https://github.com/angular/angular-cli
9,angular,components,23400,https://github.com/angular/components
10,NativeScript,NativeScript,22300,https://github.com/NativeScript/NativeScript
11,goldbergyoni,javascript-testing-best-practices,21100,https://github.com/goldbergyoni/javascript-testing-best-practices
12,jhipster,generator-jhipster,20400,https://github.com/jhipster/generator-jhipster
13,pubkey,rxdb,19000,https://github.com/pubkey/rxdb
14,nrwl,nx,16900,https://github.com/nrwl/nx
15,teambit,bit,16500,https://github.com/teambit/bit
16,sweetalert2,sweetalert2,15700,https://github.com/sweetalert2/sweetalert2
17,sudheerj,javascript-interview-questions,14900,https://github.com/sudheerj/javascript-interview-questions
18,wailsapp,wails,14600,https://github.com/wailsapp/wails
19,codesandbox,codesandbox-client,12300,https://github.com/codesandbox/codesandbox-client
20,linnovate,mean,12200,https://github.com/linnovate/mean
21,Chocobozzz,PeerTube,11500,https://github.com/Chocobozzz/PeerTube
22,jasontaylordev,CleanArchitecture,11400,https://github.com/jasontaylordev/CleanArchitecture
23,PatrickJS,MFE-starter,10400,https://github.com/PatrickJS/MFE-starter
24,dotansimha,graphql-code-generator,9800,https://github.com/dotansimha/graphql-code-generator
25,ag-grid,ag-grid,9800,https://github.com/ag-grid/ag-grid
26,abpframework,abp,9600,https://github.com/abpframework/abp
27,angular,protractor,8800,https://github.com/angular/protractor
28,PatrickJS,awesome-angular,8800,https://github.com/PatrickJS/awesome-angular
29,OnsenUI,OnsenUI,8700,https://github.com/OnsenUI/OnsenUI
30,NG-ZORRO,ng-zorro-antd,8400,https://github.com/NG-ZORRO/ng-zorro-antd
31,BuilderIO,mitosis,8400,https://github.com/BuilderIO/mitosis
32,rematch,rematch,8400,https://github.com/rematch/rematch
33,text-mask,text-mask,8200,https://github.com/text-mask/text-mask
34,ng-bootstrap,ng-bootstrap,8100,https://github.com/ng-bootstrap/ng-bootstrap
35,primefaces,primeng,8000,https://github.com/primefaces/primeng
36,akveo,nebular,7800,https://github.com/akveo/nebular
37,ngrx,platform,7500,https://github.com/ngrx/platform
38,angular,angularfire,7400,https://github.com/angular/angularfire
39,ajenti,ajenti,7000,https://github.com/ajenti/ajenti
40,getsentry,sentry-javascript,6900,https://github.com/getsentry/sentry-javascript
41,AllThingsSmitty,must-watch-javascript,6900,https://github.com/AllThingsSmitty/must-watch-javascript
42,opf,openproject,6600,https://github.com/opf/openproject
43,vmware,clarity,6500,https://github.com/vmware/clarity
44,zhongsp,TypeScript,6400,https://github.com/zhongsp/TypeScript
45,angular-fullstack,generator-angular-fullstack,6100,https://github.com/angular-fullstack/generator-angular-fullstack
46,lgwebdream,FE-Interview,6100,https://github.com/lgwebdream/FE-Interview
47,toddmotto,angularjs-styleguide,6000,https://github.com/toddmotto/angularjs-styleguide
48,angular,flex-layout,5900,https://github.com/angular/flex-layout
49,RicoSuter,NSwag,5800,https://github.com/RicoSuter/NSwag
50,LogRocket,redux-logger,5700,https://github.com/LogRocket/redux-logger
51,sachinchoolur,lightGallery,5700,https://github.com/sachinchoolur/lightGallery
52,bitwarden,clients,5700,https://github.com/bitwarden/clients
53,valor-software,ngx-bootstrap,5500,https://github.com/valor-software/ngx-bootstrap
54,timjacobi,angular-education,5400,https://github.com/timjacobi/angular-education
55,angular-ui,ui-grid,5400,https://github.com/angular-ui/ui-grid
56,jonaswinkler,paperless-ng,5400,https://github.com/jonaswinkler/paperless-ng
57,maximegris,angular-electron,5300,https://github.com/maximegris/angular-electron
58,matteobruni,tsparticles,5100,https://github.com/matteobruni/tsparticles
59,Soundnode,soundnode-app,5000,https://github.com/Soundnode/soundnode-app
60,oppia,oppia,4900,https://github.com/oppia/oppia
61,bitgapp,eqMac,4800,https://github.com/bitgapp/eqMac
62,BuilderIO,builder,4700,https://github.com/BuilderIO/builder
63,altair-graphql,altair,4600,https://github.com/altair-graphql/altair
64,cydrobolt,polr,4600,https://github.com/cydrobolt/polr
65,mgechev,angular-seed,4600,https://github.com/mgechev/angular-seed
66,Strider-CD,strider,4600,https://github.com/Strider-CD/strider
67,swimlane,ngx-datatable,4500,https://github.com/swimlane/ngx-datatable
68,searchkit,searchkit,4500,https://github.com/searchkit/searchkit
69,gridstack,gridstack.js,4500,https://github.com/gridstack/gridstack.js
70,ng-alain,ng-alain,4400,https://github.com/ng-alain/ng-alain
71,emacs-lsp,lsp-mode,4300,https://github.com/emacs-lsp/lsp-mode
72,ngx-translate,core,4300,https://github.com/ngx-translate/core
73,swimlane,ngx-charts,4200,https://github.com/swimlane/ngx-charts
74,dotnetcore,Util,4200,https://github.com/dotnetcore/Util
75,naver,fe-news,4100,https://github.com/naver/fe-news
76,mgechev,angular-performance-checklist,4000,https://github.com/mgechev/angular-performance-checklist
77,marmelab,ng-admin,4000,https://github.com/marmelab/ng-admin
78,ngrx,store,3900,https://github.com/ngrx/store
79,rcbyr,keen-slider,3900,https://github.com/rcbyr/keen-slider
80,alexjlockwood,ShapeShifter,3900,https://github.com/alexjlockwood/ShapeShifter
81,willmcpo,body-scroll-lock,3800,https://github.com/willmcpo/body-scroll-lock
82,webhooksite,webhook.site,3800,https://github.com/webhooksite/webhook.site
83,compodoc,compodoc,3800,https://github.com/compodoc/compodoc
84,webpack-china,awesome-webpack-cn,3700,https://github.com/webpack-china/awesome-webpack-cn
85,salesforce,akita,3600,https://github.com/salesforce/akita
86,bitwarden,desktop,3600,https://github.com/bitwarden/desktop
87,surveyjs,survey-library,3500,https://github.com/surveyjs/survey-library
88,taigaio,taiga-front,3500,https://github.com/taigaio/taiga-front
89,roughike,inKino,3400,https://github.com/roughike/inKino
90,YauhenKavalchuk,interview-questions,3400,https://github.com/YauhenKavalchuk/interview-questions
91,ngxs,store,3400,https://github.com/ngxs/store
92,Wscats,articles,3100,https://github.com/Wscats/articles
93,sudheerj,angular-interview-questions,3100,https://github.com/sudheerj/angular-interview-questions
94,sadanandpai,frontend-learning-kit,3100,https://github.com/sadanandpai/frontend-learning-kit
95,ng-select,ng-select,3100,https://github.com/ng-select/ng-select
96,dolanmiu,docx,3000,https://github.com/dolanmiu/docx
97,chromelyapps,Chromely,3000,https://github.com/chromelyapps/Chromely
98,a8m,angular-filter,3000,https://github.com/a8m/angular-filter
99,ui-buttons,core,2900,https://github.com/ui-buttons/core
