,Username,Repo_name,Stars,Repo_url
0,ansible,ansible,56700,https://github.com/ansible/ansible
1,bregman-arie,devops-exercises,41500,https://github.com/bregman-arie/devops-exercises
2,trailofbits,algo,27000,https://github.com/trailofbits/algo
3,StreisandEffect,streisand,22900,https://github.com/StreisandEffect/streisand
4,MichaelCade,90DaysOfDevOps,21900,https://github.com/MichaelCade/90DaysOfDevOps
5,kubernetes-sigs,kubespray,13700,https://github.com/kubernetes-sigs/kubespray
6,ansible,awx,12000,https://github.com/ansible/awx
7,easzlab,kubeasz,9000,https://github.com/easzlab/kubeasz
8,geerlingguy,ansible-for-devops,6700,https://github.com/geerlingguy/ansible-for-devops
9,khuedoan,homelab,6700,https://github.com/khuedoan/homelab
10,Tikam02,DevOps-Guide,6500,https://github.com/Tikam02/DevOps-Guide
11,ansible-semaphore,semaphore,5800,https://github.com/ansible-semaphore/semaphore
12,geerlingguy,mac-dev-playbook,5200,https://github.com/geerlingguy/mac-dev-playbook
13,rundeck,rundeck,4900,https://github.com/rundeck/rundeck
14,KubeOperator,KubeOperator,4600,https://github.com/KubeOperator/KubeOperator
15,clong,DetectionLab,4100,https://github.com/clong/DetectionLab
16,netbootxyz,netboot.xyz,3900,https://github.com/netbootxyz/netboot.xyz
17,litmuschaos,litmus,3600,https://github.com/litmuschaos/litmus
18,ansible-community,molecule,3500,https://github.com/ansible-community/molecule
19,opendevops-cn,opendevops,3400,https://github.com/opendevops-cn/opendevops
20,dev-sec,ansible-collection-hardening,3200,https://github.com/dev-sec/ansible-collection-hardening
21,welliamcao,OpsManage,3100,https://github.com/welliamcao/OpsManage
22,ansible,ansible-lint,3000,https://github.com/ansible/ansible-lint
23,alixaxel,chrome-aws-lambda,3000,https://github.com/alixaxel/chrome-aws-lambda
24,roots,trellis,2400,https://github.com/roots/trellis
25,davestephens,ansible-nas,2400,https://github.com/davestephens/ansible-nas
26,ansistrano,deploy,2300,https://github.com/ansistrano/deploy
27,fboender,ansible-cmdb,2200,https://github.com/fboender/ansible-cmdb
28,pytest-dev,pytest-testinfra,2200,https://github.com/pytest-dev/pytest-testinfra
29,Cloudbox,Cloudbox,2200,https://github.com/Cloudbox/Cloudbox
30,leucos,ansible-tuto,2100,https://github.com/leucos/ansible-tuto
31,Artemmkin,infrastructure-as-code-tutorial,2100,https://github.com/Artemmkin/infrastructure-as-code-tutorial
32,openshift,openshift-ansible,2100,https://github.com/openshift/openshift-ansible
33,geerlingguy,ansible-vagrant-examples,2000,https://github.com/geerlingguy/ansible-vagrant-examples
34,ComplianceAsCode,content,1800,https://github.com/ComplianceAsCode/content
35,ChristianLempa,boilerplates,1700,https://github.com/ChristianLempa/boilerplates
36,adammck,terraform-inventory,1700,https://github.com/adammck/terraform-inventory
37,geerlingguy,raspberry-pi-dramble,1700,https://github.com/geerlingguy/raspberry-pi-dramble
38,plexguide,PlexGuide.com,1600,https://github.com/plexguide/PlexGuide.com
39,ansible-community,ara,1600,https://github.com/ansible-community/ara
40,ceph,ceph-ansible,1600,https://github.com/ceph/ceph-ansible
41,elastic,ansible-elasticsearch,1500,https://github.com/elastic/ansible-elasticsearch
42,ansible,workshops,1500,https://github.com/ansible/workshops
43,turkenh,ansible-interactive-tutorial,1400,https://github.com/turkenh/ansible-interactive-tutorial
44,scottslowe,learning-tools,1400,https://github.com/scottslowe/learning-tools
45,joedicastro,vps-comparison,1400,https://github.com/joedicastro/vps-comparison
46,geerlingguy,drupal-vm,1400,https://github.com/geerlingguy/drupal-vm
47,geerlingguy,ansible-role-docker,1400,https://github.com/geerlingguy/ansible-role-docker
48,ManageIQ,manageiq,1300,https://github.com/ManageIQ/manageiq
49,forem,selfhost,1200,https://github.com/forem/selfhost
50,dongweiming,web_develop,1200,https://github.com/dongweiming/web_develop
51,bluxmit,alnoda-workspaces,1100,https://github.com/bluxmit/alnoda-workspaces
52,ahmedtariq01,Cloud-DevOps-Learning-Resources,1100,https://github.com/ahmedtariq01/Cloud-DevOps-Learning-Resources
53,ezaquarii,vpn-at-home,1100,https://github.com/ezaquarii/vpn-at-home
54,cloudalchemy,ansible-prometheus,1100,https://github.com/cloudalchemy/ansible-prometheus
55,antonputra,tutorials,1100,https://github.com/antonputra/tutorials
56,onedr0p,home-ops,1100,https://github.com/onedr0p/home-ops
57,Vonng,pigsty,1000,https://github.com/Vonng/pigsty
58,debops,debops,1000,https://github.com/debops/debops
59,onedr0p,flux-cluster-template,1000,https://github.com/onedr0p/flux-cluster-template
60,stephrobert,awesome-french-devops,1000,https://github.com/stephrobert/awesome-french-devops
61,wise2c-devops,breeze,993,https://github.com/wise2c-devops/breeze
62,Neeky,mysqltools,983,https://github.com/Neeky/mysqltools
63,geerlingguy,ansible-role-mysql,970,https://github.com/geerlingguy/ansible-role-mysql
64,ansible-community,awesome-ansible,899,https://github.com/ansible-community/awesome-ansible
65,sk3pp3r,cheat-sheet-pdf,896,https://github.com/sk3pp3r/cheat-sheet-pdf
66,techno-tim,launchpad,823,https://github.com/techno-tim/launchpad
67,enginyoyen,ansible-best-practises,820,https://github.com/enginyoyen/ansible-best-practises
68,openedx,configuration,811,https://github.com/openedx/configuration
69,shfshanyue,op-note,808,https://github.com/shfshanyue/op-note
70,swarmlet,swarmlet,798,https://github.com/swarmlet/swarmlet
71,geerlingguy,ansible-role-jenkins,784,https://github.com/geerlingguy/ansible-role-jenkins
72,dev-sec,ansible-ssh-hardening,775,https://github.com/dev-sec/ansible-ssh-hardening
73,ANXS,postgresql,758,https://github.com/ANXS/postgresql
74,geerlingguy,ansible-role-nginx,754,https://github.com/geerlingguy/ansible-role-nginx
75,techno-tim,techno-tim.github.io,748,https://github.com/techno-tim/techno-tim.github.io
76,pearofducks,ansible-vim,747,https://github.com/pearofducks/ansible-vim
