,Username,Repo_name,Stars,Repo_url
0,arendst,Tasmota,19400,https://github.com/arendst/Tasmota
1,MarlinFirmware,Marlin,14600,https://github.com/MarlinFirmware/Marlin
2,arduino,Arduino,13500,https://github.com/arduino/Arduino
3,rwaldron,johnny-five,13000,https://github.com/rwaldron/johnny-five
4,tinygo-org,tinygo,12500,https://github.com/tinygo-org/tinygo
5,SpacehuhnTech,esp8266_deauther,11400,https://github.com/SpacehuhnTech/esp8266_deauther
6,espressif,arduino-esp32,10300,https://github.com/espressif/arduino-esp32
7,gurugio,lowlevelprogramming-university,8300,https://github.com/gurugio/lowlevelprogramming-university
8,hybridgroup,gobot,8100,https://github.com/hybridgroup/gobot
9,platformio,platformio-core,6700,https://github.com/platformio/platformio-core
10,bblanchon,ArduinoJson,6100,https://github.com/bblanchon/ArduinoJson
11,tzapu,WiFiManager,5700,https://github.com/tzapu/WiFiManager
12,hybridgroup,cylon,4000,https://github.com/hybridgroup/cylon
13,Arduino-IRremote,Arduino-IRremote,3900,https://github.com/Arduino-IRremote/Arduino-IRremote
14,arduino,arduino-cli,3800,https://github.com/arduino/arduino-cli
15,olikraus,u8g2,3700,https://github.com/olikraus/u8g2
16,blynkkk,blynk-library,3600,https://github.com/blynkkk/blynk-library
17,NerdLang,nerd,3400,https://github.com/NerdLang/nerd
18,ClemensElflein,OpenMower,3400,https://github.com/ClemensElflein/OpenMower
19,Serial-Studio,Serial-Studio,3100,https://github.com/Serial-Studio/Serial-Studio
20,1technophile,OpenMQTTGateway,2900,https://github.com/1technophile/OpenMQTTGateway
21,scottbez1,splitflap,2600,https://github.com/scottbez1/splitflap
22,Bodmer,TFT_eSPI,2500,https://github.com/Bodmer/TFT_eSPI
23,scottlawsonbc,audio-reactive-led-strip,2500,https://github.com/scottlawsonbc/audio-reactive-led-strip
24,crankyoldgit,IRremoteESP8266,2400,https://github.com/crankyoldgit/IRremoteESP8266
25,isl-org,OpenBot,2400,https://github.com/isl-org/OpenBot
26,stm32duino,Arduino_Core_STM32,2200,https://github.com/stm32duino/Arduino_Core_STM32
27,blinker-iot,blinker-library,2100,https://github.com/blinker-iot/blinker-library
28,nRF24,RF24,2000,https://github.com/nRF24/RF24
29,justcallmekoko,ESP32Marauder,1900,https://github.com/justcallmekoko/ESP32Marauder
30,ThingPulse,esp8266-oled-ssd1306,1800,https://github.com/ThingPulse/esp8266-oled-ssd1306
31,omriharel,deej,1700,https://github.com/omriharel/deej
32,LucidVR,lucidgloves,1700,https://github.com/LucidVR/lucidgloves
33,SpacehuhnTech,WiFiDuck,1600,https://github.com/SpacehuhnTech/WiFiDuck
34,T-vK,ESP32-BLE-Keyboard,1600,https://github.com/T-vK/ESP32-BLE-Keyboard
35,earlephilhower,ESP8266Audio,1600,https://github.com/earlephilhower/ESP8266Audio
36,vshymanskyy,TinyGSM,1600,https://github.com/vshymanskyy/TinyGSM
37,sanni,cartreader,1600,https://github.com/sanni/cartreader
38,luc-github,ESP3D,1500,https://github.com/luc-github/ESP3D
39,sqfmi,Watchy,1500,https://github.com/sqfmi/Watchy
40,kitesurfer1404,WS2812FX,1400,https://github.com/kitesurfer1404/WS2812FX
41,arduino,arduino-ide,1400,https://github.com/arduino/arduino-ide
42,simplefoc,Arduino-FOC,1400,https://github.com/simplefoc/Arduino-FOC
43,FortySevenEffects,arduino_midi_library,1400,https://github.com/FortySevenEffects/arduino_midi_library
44,SmingHub,Sming,1400,https://github.com/SmingHub/Sming
45,homieiot,homie-esp8266,1300,https://github.com/homieiot/homie-esp8266
46,SpenceKonde,ATTinyCore,1300,https://github.com/SpenceKonde/ATTinyCore
47,RobTillaart,Arduino,1300,https://github.com/RobTillaart/Arduino
48,mysensors,MySensors,1300,https://github.com/mysensors/MySensors
49,samdenty,Wi-PWN,1200,https://github.com/samdenty/Wi-PWN
50,Mixiaoxiao,Arduino-HomeKit-ESP8266,1200,https://github.com/Mixiaoxiao/Arduino-HomeKit-ESP8266
51,sbstjn,noduino,1200,https://github.com/sbstjn/noduino
52,spacehuhn,wifi_ducky,1200,https://github.com/spacehuhn/wifi_ducky
53,cyberman54,ESP32-Paxcounter,1200,https://github.com/cyberman54/ESP32-Paxcounter
54,ggerganov,ggwave,1100,https://github.com/ggerganov/ggwave
55,earlephilhower,arduino-pico,1100,https://github.com/earlephilhower/arduino-pico
56,Makuna,NeoPixelBus,1100,https://github.com/Makuna/NeoPixelBus
57,PetoiCamp,OpenCat,1000,https://github.com/PetoiCamp/OpenCat
58,nakkaya,ferret,1000,https://github.com/nakkaya/ferret
59,particle-iot,device-os,1000,https://github.com/particle-iot/device-os
60,Zer0-bit,gaggiuino,995,https://github.com/Zer0-bit/gaggiuino
61,waveshare,e-Paper,984,https://github.com/waveshare/e-Paper
62,njh,EtherCard,979,https://github.com/njh/EtherCard
63,arkhipenko,TaskScheduler,977,https://github.com/arkhipenko/TaskScheduler
64,ThingPulse,esp8266-weather-station,972,https://github.com/ThingPulse/esp8266-weather-station
65,MTK911,Attiny85,965,https://github.com/MTK911/Attiny85
66,witnessmenow,Universal-Arduino-Telegram-Bot,943,https://github.com/witnessmenow/Universal-Arduino-Telegram-Bot
67,revoxhere,duino-coin,937,https://github.com/revoxhere/duino-coin
68,Gruppio,Sonoff-Homekit,935,https://github.com/Gruppio/Sonoff-Homekit
69,sitewhere,sitewhere,934,https://github.com/sitewhere/sitewhere
70,smrtnt,Open-Home-Automation,909,https://github.com/smrtnt/Open-Home-Automation
71,screetsec,Brutal,906,https://github.com/screetsec/Brutal
72,arduino,arduino-pro-ide,891,https://github.com/arduino/arduino-pro-ide
73,tttapa,Control-Surface,886,https://github.com/tttapa/Control-Surface
74,ImpulseAdventure,GUIslice,885,https://github.com/ImpulseAdventure/GUIslice
75,ivanseidel,ArduinoThread,878,https://github.com/ivanseidel/ArduinoThread
76,256dpi,arduino-mqtt,876,https://github.com/256dpi/arduino-mqtt
77,jgromes,RadioLib,874,https://github.com/jgromes/RadioLib
78,Rahix,avr-hal,858,https://github.com/Rahix/avr-hal
79,adafruit,Adafruit_Sensor,854,https://github.com/adafruit/Adafruit_Sensor
80,xodio,xod,828,https://github.com/xodio/xod
81,neu-rah,ArduinoMenu,816,https://github.com/neu-rah/ArduinoMenu
82,MCUdude,MiniCore,805,https://github.com/MCUdude/MiniCore
83,ayushsharma82,ESP-DASH,779,https://github.com/ayushsharma82/ESP-DASH
84,wagiminator,ATmega-Soldering-Station,765,https://github.com/wagiminator/ATmega-Soldering-Station
85,ZinggJM,GxEPD,764,https://github.com/ZinggJM/GxEPD
86,nkolban,ESP32_BLE_Arduino,759,https://github.com/nkolban/ESP32_BLE_Arduino
87,marvinroger,async-mqtt-client,747,https://github.com/marvinroger/async-mqtt-client
88,mathertel,OneButton,742,https://github.com/mathertel/OneButton
89,googlecreativelab,paper-signals,734,https://github.com/googlecreativelab/paper-signals
90,aderusha,HASwitchPlate,708,https://github.com/aderusha/HASwitchPlate
91,armadsen,ORSSerialPort,698,https://github.com/armadsen/ORSSerialPort
92,feilipu,Arduino_FreeRTOS_Library,695,https://github.com/feilipu/Arduino_FreeRTOS_Library
93,PlummersSoftwareLLC,NightDriverStrip,688,https://github.com/PlummersSoftwareLLC/NightDriverStrip
94,platformio,platform-espressif32,659,https://github.com/platformio/platform-espressif32
95,ZinggJM,GxEPD2,657,https://github.com/ZinggJM/GxEPD2
96,pschatzmann,arduino-audio-tools,653,https://github.com/pschatzmann/arduino-audio-tools
97,NicoHood,HoodLoader2,647,https://github.com/NicoHood/HoodLoader2
98,SlashDevin,NeoGPS,647,https://github.com/SlashDevin/NeoGPS
99,relativty,wrmhl,629,https://github.com/relativty/wrmhl
