,Username,Repo_name,Stars,Repo_url
0,atom,atom,59200,https://github.com/atom/atom
1,themerdev,themer,5100,https://github.com/themerdev/themer
2,miniflux,v2,4900,https://github.com/miniflux/v2
3,shd101wyy,markdown-preview-enhanced,3900,https://github.com/shd101wyy/markdown-preview-enhanced
4,nteract,hydrogen,3800,https://github.com/nteract/hydrogen
5,atom,teletype,2400,https://github.com/atom/teletype
6,mmcdole,gofeed,2100,https://github.com/mmcdole/gofeed
7,NaiboWang,CommandlineConfig,2000,https://github.com/NaiboWang/CommandlineConfig
8,mehcode,awesome-atom,1900,https://github.com/mehcode/awesome-atom
9,kurtmckee,feedparser,1600,https://github.com/kurtmckee/feedparser
10,joefitzgerald,go-plus,1500,https://github.com/joefitzgerald/go-plus
11,Glavin001,atom-beautify,1500,https://github.com/Glavin001/atom-beautify
12,simplepie,simplepie,1500,https://github.com/simplepie/simplepie
13,ocaml,merlin,1500,https://github.com/ocaml/merlin
14,t9md,atom-vim-mode-plus,1400,https://github.com/t9md/atom-vim-mode-plus
15,feeddd,feeds,1400,https://github.com/feeddd/feeds
16,MagicStack,MagicPython,1400,https://github.com/MagicStack/MagicPython
17,atom,apm,1300,https://github.com/atom/apm
18,file-icons,atom,1200,https://github.com/file-icons/atom
19,fwcd,kotlin-language-server,1200,https://github.com/fwcd/kotlin-language-server
20,kettanaito,atomic-layout,1100,https://github.com/kettanaito/atomic-layout
21,atom,github,1100,https://github.com/atom/github
22,nmdias,FeedKit,1100,https://github.com/nmdias/FeedKit
23,nathanbuchar,atom-one-dark-terminal,1000,https://github.com/nathanbuchar/atom-one-dark-terminal
24,martinrotter,rssguard,953,https://github.com/martinrotter/rssguard
25,jpmonette,feed,936,https://github.com/jpmonette/feed
26,danhper,atomic-chrome,922,https://github.com/danhper/atomic-chrome
27,jesseweed,seti-ui,917,https://github.com/jesseweed/seti-ui
28,jasonmunro,cypht,797,https://github.com/jasonmunro/cypht
29,prettier,prettier-atom,769,https://github.com/prettier/prettier-atom
30,raphamorim,lucario,762,https://github.com/raphamorim/lucario
31,jekyll,jekyll-feed,755,https://github.com/jekyll/jekyll-feed
32,lwindolf,liferea,749,https://github.com/lwindolf/liferea
33,atom-community,atom-script,733,https://github.com/atom-community/atom-script
34,gorilla,feeds,651,https://github.com/gorilla/feeds
35,atom,flight-manual.atom.io,625,https://github.com/atom/flight-manual.atom.io
36,platformio,platformio-atom-ide-terminal,625,https://github.com/platformio/platformio-atom-ide-terminal
37,lkiesow,python-feedgen,612,https://github.com/lkiesow/python-feedgen
38,atom-community,atom,590,https://github.com/atom-community/atom
39,AtomLinter,linter-eslint,587,https://github.com/AtomLinter/linter-eslint
40,dvcrn,proton,573,https://github.com/dvcrn/proton
41,icetee,remote-ftp,555,https://github.com/icetee/remote-ftp
42,danielbrodin,atom-project-manager,519,https://github.com/danielbrodin/atom-project-manager
43,Galooshi,import-js,518,https://github.com/Galooshi/import-js
44,hexojs,hexo-generator-feed,503,https://github.com/hexojs/hexo-generator-feed
45,dineug,erd-editor,479,https://github.com/dineug/erd-editor
46,platformio,platformio-atom-ide,477,https://github.com/platformio/platformio-atom-ide
47,gandm,language-babel,474,https://github.com/gandm/language-babel
48,transcranial,atom-transparency,473,https://github.com/transcranial/atom-transparency
49,mashaal,wild-cherry,470,https://github.com/mashaal/wild-cherry
50,sdepold,jquery-rss,453,https://github.com/sdepold/jquery-rss
51,smashwilson,merge-conflicts,433,https://github.com/smashwilson/merge-conflicts
52,atom,one-dark-syntax,416,https://github.com/atom/one-dark-syntax
53,apex,apex-ui,410,https://github.com/apex/apex-ui
54,mipstian,catch,405,https://github.com/mipstian/catch
55,MauriceConrad,Photon,402,https://github.com/MauriceConrad/Photon
56,colbycheeze,dotfiles,400,https://github.com/colbycheeze/dotfiles
57,blakeembrey,atom-dash,396,https://github.com/blakeembrey/atom-dash
58,karad,lein_template_descjop,390,https://github.com/karad/lein_template_descjop
59,atom,atom-languageclient,389,https://github.com/atom/atom-languageclient
60,lloiser,go-debug,388,https://github.com/lloiser/go-debug
61,sismics,reader,384,https://github.com/sismics/reader
62,mswift42,themecreator,361,https://github.com/mswift42/themecreator
63,zhuochun,md-writer,346,https://github.com/zhuochun/md-writer
64,themerdev,themer-gui,325,https://github.com/themerdev/themer-gui
65,snarfed,granary,316,https://github.com/snarfed/granary
66,wakatime,atom-wakatime,314,https://github.com/wakatime/atom-wakatime
67,daaain,Handlebars,301,https://github.com/daaain/Handlebars
68,lexrus,LTFinderButtons,298,https://github.com/lexrus/LTFinderButtons
69,angular-ui,AngularJS-Atom,288,https://github.com/angular-ui/AngularJS-Atom
70,shery,awesome-atom-packages,286,https://github.com/shery/awesome-atom-packages
71,Lallassu,gorss,284,https://github.com/Lallassu/gorss
72,Gert-dev,php-ide-serenata,277,https://github.com/Gert-dev/php-ide-serenata
73,atom,settings-view,273,https://github.com/atom/settings-view
74,AlduinApp,alduin,273,https://github.com/AlduinApp/alduin
75,lposidon,posidonLauncher,270,https://github.com/lposidon/posidonLauncher
76,atom,ide-php,268,https://github.com/atom/ide-php
77,shrugs,react-native-snippets,256,https://github.com/shrugs/react-native-snippets
78,akamud,vscode-theme-onedark,255,https://github.com/akamud/vscode-theme-onedark
79,0mkara,etheratom,252,https://github.com/0mkara/etheratom
80,arminreiter,FeedReader,244,https://github.com/arminreiter/FeedReader
81,rust-lang,atom-ide-rust,243,https://github.com/rust-lang/atom-ide-rust
82,mploed,event-driven-spring-boot,243,https://github.com/mploed/event-driven-spring-boot
83,alexdebril,feed-io,238,https://github.com/alexdebril/feed-io
84,atom-community,ide-python,237,https://github.com/atom-community/ide-python
85,atom-haskell,ide-haskell,234,https://github.com/atom-haskell/ide-haskell
86,mrusme,journalist,233,https://github.com/mrusme/journalist
87,thomasjo,atom-latex,227,https://github.com/thomasjo/atom-latex
88,atom,ide-java,226,https://github.com/atom/ide-java
89,nuxt-community,feed-module,216,https://github.com/nuxt-community/feed-module
90,pycroscopy,pycroscopy,208,https://github.com/pycroscopy/pycroscopy
91,ansumanshah,css-in-js,205,https://github.com/ansumanshah/css-in-js
92,gtalarico,ironpython-stubs,203,https://github.com/gtalarico/ironpython-stubs
93,garethflowers,atom-portable,202,https://github.com/garethflowers/atom-portable
94,atom,snippets,200,https://github.com/atom/snippets
95,enginkizil,FeedEk,199,https://github.com/enginkizil/FeedEk
96,brief-rss,brief,199,https://github.com/brief-rss/brief
97,mupchrch,split-diff,196,https://github.com/mupchrch/split-diff
98,fent,node-feedsub,190,https://github.com/fent/node-feedsub
99,LeedRSS,Leed,190,https://github.com/LeedRSS/Leed
