,Username,Repo_name,Stars,Repo_url
0,sindresorhus,awesome,245000,https://github.com/sindresorhus/awesome
1,vinta,awesome-python,160000,https://github.com/vinta/awesome-python
2,awesome-selfhosted,awesome-selfhosted,124000,https://github.com/awesome-selfhosted/awesome-selfhosted
3,avelino,awesome-go,98300,https://github.com/avelino/awesome-go
4,trimstray,the-book-of-secret-knowledge,92700,https://github.com/trimstray/the-book-of-secret-knowledge
5,papers-we-love,papers-we-love,70500,https://github.com/papers-we-love/papers-we-love
6,521xueweihan,HelloGitHub,66200,https://github.com/521xueweihan/HelloGitHub
7,Hack-with-Github,Awesome-Hacking,62700,https://github.com/Hack-with-Github/Awesome-Hacking
8,jaywcjlove,awesome-mac,58800,https://github.com/jaywcjlove/awesome-mac
9,DopplerHQ,awesome-interview-questions,54100,https://github.com/DopplerHQ/awesome-interview-questions
10,sindresorhus,awesome-nodejs,50200,https://github.com/sindresorhus/awesome-nodejs
11,MunGell,awesome-for-beginners,49300,https://github.com/MunGell/awesome-for-beginners
12,prakhar1989,awesome-courses,46200,https://github.com/prakhar1989/awesome-courses
13,Solido,awesome-flutter,45900,https://github.com/Solido/awesome-flutter
14,wasabeef,awesome-android-ui,45800,https://github.com/wasabeef/awesome-android-ui
15,fffaraz,awesome-cpp,44700,https://github.com/fffaraz/awesome-cpp
16,binhnguyennus,awesome-scalability,44200,https://github.com/binhnguyennus/awesome-scalability
17,vsouza,awesome-ios,42300,https://github.com/vsouza/awesome-ios
18,tiimgreen,github-cheat-sheet,40200,https://github.com/tiimgreen/github-cheat-sheet
19,dypsilon,frontend-dev-bookmarks,37800,https://github.com/dypsilon/frontend-dev-bookmarks
20,akullpp,awesome-java,35800,https://github.com/akullpp/awesome-java
21,brillout,awesome-react-components,35000,https://github.com/brillout/awesome-react-components
22,serhii-londar,open-source-mac-os-apps,34600,https://github.com/serhii-londar/open-source-mac-os-apps
