,Username,Repo_name,Stars,Repo_url
0,babel,babel,42000,https://github.com/babel/babel
1,swc-project,swc,26600,https://github.com/swc-project/swc
2,nylas,nylas-mail,24700,https://github.com/nylas/nylas-mail
3,electron-react-boilerplate,electron-react-boilerplate,21000,https://github.com/electron-react-boilerplate/electron-react-boilerplate
4,avajs,ava,20300,https://github.com/avajs/ava
5,SimulatedGREG,electron-vue,15200,https://github.com/SimulatedGREG/electron-vue
6,grab,front-end-guide,14800,https://github.com/grab/front-end-guide
7,jamiebuilds,babel-handbook,11600,https://github.com/jamiebuilds/babel-handbook
8,grommet,grommet,8200,https://github.com/grommet/grommet
9,developit,htm,8100,https://github.com/developit/htm
10,ben-rogerson,twin.macro,7000,https://github.com/ben-rogerson/twin.macro
11,angular-fullstack,generator-angular-fullstack,6100,https://github.com/angular-fullstack/generator-angular-fullstack
12,documentationjs,documentation,5700,https://github.com/documentationjs/documentation
13,insin,nwb,5500,https://github.com/insin/nwb
14,fkling,astexplorer,5300,https://github.com/fkling/astexplorer
15,thinkjs,thinkjs,5300,https://github.com/thinkjs/thinkjs
16,egoist,poi,5300,https://github.com/egoist/poi
17,transitive-bullshit,create-react-library,4800,https://github.com/transitive-bullshit/create-react-library
18,duxianwei520,react,4700,https://github.com/duxianwei520/react
19,babel,babel-loader,4700,https://github.com/babel/babel-loader
20,jaredpalmer,backpack,4500,https://github.com/jaredpalmer/backpack
21,babel,minify,4400,https://github.com/babel/minify
22,thx,gogocode,4100,https://github.com/thx/gogocode
23,tleunen,babel-plugin-module-resolver,3400,https://github.com/tleunen/babel-plugin-module-resolver
24,esbuild-kit,esbuild-loader,3300,https://github.com/esbuild-kit/esbuild-loader
25,andywer,webpack-blocks,3000,https://github.com/andywer/webpack-blocks
26,babel,babel-eslint,3000,https://github.com/babel/babel-eslint
27,kunalkapadia,express-mongoose-es6-rest-api,2900,https://github.com/kunalkapadia/express-mongoose-es6-rest-api
28,kentcdodds,babel-plugin-macros,2500,https://github.com/kentcdodds/babel-plugin-macros
29,Atyantik,react-pwa,2500,https://github.com/Atyantik/react-pwa
30,FRRouting,frr,2500,https://github.com/FRRouting/frr
31,uidotdev,react-course,2500,https://github.com/uidotdev/react-course
32,atulmy,crate,2400,https://github.com/atulmy/crate
33,RickWong,react-isomorphic-starterkit,2300,https://github.com/RickWong/react-isomorphic-starterkit
34,symfony,webpack-encore,2100,https://github.com/symfony/webpack-encore
35,pheuter,essential-react,2000,https://github.com/pheuter/essential-react
36,glennreyes,graphpack,2000,https://github.com/glennreyes/graphpack
37,lodash,babel-plugin-lodash,2000,https://github.com/lodash/babel-plugin-lodash
38,CharlesStover,reactn,1900,https://github.com/CharlesStover/reactn
39,wbkd,webpack-starter,1900,https://github.com/wbkd/webpack-starter
40,atlassian-labs,compiled,1800,https://github.com/atlassian-labs/compiled
41,bodyno,react-starter-kit,1800,https://github.com/bodyno/react-starter-kit
42,babel,babylon,1700,https://github.com/babel/babylon
43,ericalli,static-site-boilerplate,1700,https://github.com/ericalli/static-site-boilerplate
44,serverless-heaven,serverless-webpack,1700,https://github.com/serverless-heaven/serverless-webpack
45,wingify,across-tabs,1600,https://github.com/wingify/across-tabs
46,AlexGilleran,jsx-control-statements,1600,https://github.com/AlexGilleran/jsx-control-statements
47,Kocal,vue-web-extension,1500,https://github.com/Kocal/vue-web-extension
48,pankod,next-boilerplate,1500,https://github.com/pankod/next-boilerplate
49,welaika,wordless,1400,https://github.com/welaika/wordless
50,seek-oss,braid-design-system,1400,https://github.com/seek-oss/braid-design-system
51,babel,gulp-babel,1300,https://github.com/babel/gulp-babel
52,babel,babel-upgrade,1300,https://github.com/babel/babel-upgrade
53,entwicklerstube,babel-plugin-root-import,1200,https://github.com/entwicklerstube/babel-plugin-root-import
54,NiGhTTraX,ts-monorepo,1200,https://github.com/NiGhTTraX/ts-monorepo
55,egoist,bili,1000,https://github.com/egoist/bili
56,styled-components,babel-plugin-styled-components,1000,https://github.com/styled-components/babel-plugin-styled-components
57,tr1s,tris-webpack-boilerplate,1000,https://github.com/tr1s/tris-webpack-boilerplate
58,kitze,custom-react-scripts,1000,https://github.com/kitze/custom-react-scripts
59,ModusCreateOrg,budgeting,985,https://github.com/ModusCreateOrg/budgeting
60,cburmeister,flask-bones,960,https://github.com/cburmeister/flask-bones
61,SKempin,reactjs-tmdb-app,921,https://github.com/SKempin/reactjs-tmdb-app
62,zetachang,react-native-dotenv,917,https://github.com/zetachang/react-native-dotenv
63,oliviertassinari,babel-plugin-transform-react-remove-prop-types,898,https://github.com/oliviertassinari/babel-plugin-transform-react-remove-prop-types
64,vikpe,react-webpack-typescript-starter,867,https://github.com/vikpe/react-webpack-typescript-starter
65,rwieruch,minimal-react-webpack-babel-setup,845,https://github.com/rwieruch/minimal-react-webpack-babel-setup
66,babel,awesome-babel,838,https://github.com/babel/awesome-babel
67,rtivital,react-things,836,https://github.com/rtivital/react-things
68,babel,babel-standalone,815,https://github.com/babel/babel-standalone
69,liangklfangl,react-article-bucket,800,https://github.com/liangklfangl/react-article-bucket
70,imranhsayed,woo-next,792,https://github.com/imranhsayed/woo-next
71,manuelbieh,react-ssr-setup,767,https://github.com/manuelbieh/react-ssr-setup
72,pigcan,blog,754,https://github.com/pigcan/blog
73,babel,preset-modules,744,https://github.com/babel/preset-modules
74,imranhsayed,aquila,737,https://github.com/imranhsayed/aquila
75,serverless,serverless-plugin-typescript,737,https://github.com/serverless/serverless-plugin-typescript
76,babel,website,714,https://github.com/babel/website
77,postlight,serverless-typescript-starter,710,https://github.com/postlight/serverless-typescript-starter
78,jaredpalmer,presspack,690,https://github.com/jaredpalmer/presspack
79,saguijs,sagui,673,https://github.com/saguijs/sagui
80,pizzaql,pizzaql,671,https://github.com/pizzaql/pizzaql
81,alizahid,slinky,667,https://github.com/alizahid/slinky
82,WeAreAthlon,frontend-webpack-boilerplate,661,https://github.com/WeAreAthlon/frontend-webpack-boilerplate
83,chikara-chan,react-isomorphic-boilerplate,658,https://github.com/chikara-chan/react-isomorphic-boilerplate
84,FranckFreiburger,vue3-sfc-loader,649,https://github.com/FranckFreiburger/vue3-sfc-loader
85,caiobiodere,cordova-template-framework7-vue-webpack,629,https://github.com/caiobiodere/cordova-template-framework7-vue-webpack
86,bokub,lyo,624,https://github.com/bokub/lyo
87,vmasto,express-babel,617,https://github.com/vmasto/express-babel
88,kriasoft,react-app,615,https://github.com/kriasoft/react-app
