,Username,Repo_name,Stars,Repo_url
0,jlevy,the-art-of-command-line,133000,https://github.com/jlevy/the-art-of-command-line
1,nvm-sh,nvm,65600,https://github.com/nvm-sh/nvm
2,junegunn,fzf,50500,https://github.com/junegunn/fzf
3,google,zx,36700,https://github.com/google/zx
4,starship,starship,33200,https://github.com/starship/starship
5,dylanaraps,pure-bash-bible,33100,https://github.com/dylanaraps/pure-bash-bible
6,LeCoupa,awesome-cheatsheets,32800,https://github.com/LeCoupa/awesome-cheatsheets
7,koalaman,shellcheck,31700,https://github.com/koalaman/shellcheck
8,acmesh-official,acme.sh,30700,https://github.com/acmesh-official/acme.sh
9,mathiasbynens,dotfiles,28900,https://github.com/mathiasbynens/dotfiles
10,alebcay,awesome-shell,26900,https://github.com/alebcay/awesome-shell
11,jaywcjlove,linux-command,23300,https://github.com/jaywcjlove/linux-command
12,withfig,autocomplete,21700,https://github.com/withfig/autocomplete
13,dylanaraps,neofetch,17600,https://github.com/dylanaraps/neofetch
14,Nyr,openvpn-install,16800,https://github.com/Nyr/openvpn-install
15,rbenv,rbenv,14900,https://github.com/rbenv/rbenv
16,faressoft,terminalizer,13800,https://github.com/faressoft/terminalizer
17,shelljs,shelljs,13700,https://github.com/shelljs/shelljs
18,powerline,powerline,13700,https://github.com/powerline/powerline
19,Bash-it,bash-it,13400,https://github.com/Bash-it/bash-it
20,kingToolbox,WindTerm,13300,https://github.com/kingToolbox/WindTerm
21,jessfraz,dockerfiles,13100,https://github.com/jessfraz/dockerfiles
22,denisidoro,navi,12600,https://github.com/denisidoro/navi
23,extrawurst,gitui,12600,https://github.com/extrawurst/gitui
24,charmbracelet,gum,12500,https://github.com/charmbracelet/gum
25,warpdotdev,Warp,11900,https://github.com/warpdotdev/Warp
26,carlospolop,PEASS-ng,11700,https://github.com/carlospolop/PEASS-ng
27,cheat,cheat,10700,https://github.com/cheat/cheat
28,direnv,direnv,10200,https://github.com/direnv/direnv
29,JanDeDobbeleer,oh-my-posh,10200,https://github.com/JanDeDobbeleer/oh-my-posh
30,skywind3000,awesome-cheatsheets,9900,https://github.com/skywind3000/awesome-cheatsheets
31,codota,TabNine,9800,https://github.com/codota/TabNine
32,ajeetdsouza,zoxide,9800,https://github.com/ajeetdsouza/zoxide
33,angristan,openvpn-install,9600,https://github.com/angristan/openvpn-install
34,rgcr,m-cli,9300,https://github.com/rgcr/m-cli
35,kanaka,mal,9200,https://github.com/kanaka/mal
36,alexanderepstein,Bash-Snippets,9100,https://github.com/alexanderepstein/Bash-Snippets
37,guarinogabriel,Mac-CLI,8400,https://github.com/guarinogabriel/Mac-CLI
38,mikefarah,yq,8200,https://github.com/mikefarah/yq
39,Gogh-Co,Gogh,7700,https://github.com/Gogh-Co/Gogh
40,webpro,awesome-dotfiles,7700,https://github.com/webpro/awesome-dotfiles
41,onceupon,Bash-Oneliner,7600,https://github.com/onceupon/Bash-Oneliner
42,enquirer,enquirer,6900,https://github.com/enquirer/enquirer
43,xonsh,xonsh,6900,https://github.com/xonsh/xonsh
44,bregman-arie,devops-resources,6700,https://github.com/bregman-arie/devops-resources
45,oldratlee,useful-scripts,6500,https://github.com/oldratlee/useful-scripts
46,kellyjonbrazil,jc,6100,https://github.com/kellyjonbrazil/jc
47,b-ryan,powerline-shell,6000,https://github.com/b-ryan/powerline-shell
48,awesome-lists,awesome-bash,5900,https://github.com/awesome-lists/awesome-bash
49,donnemartin,dev-setup,5900,https://github.com/donnemartin/dev-setup
50,PipedreamHQ,pipedream,5800,https://github.com/PipedreamHQ/pipedream
51,mvdan,sh,5700,https://github.com/mvdan/sh
52,arzzen,git-quick-stats,5700,https://github.com/arzzen/git-quick-stats
53,dehydrated-io,dehydrated,5600,https://github.com/dehydrated-io/dehydrated
54,ellie,atuin,5500,https://github.com/ellie/atuin
55,niieani,bash-oo-framework,5400,https://github.com/niieani/bash-oo-framework
56,xwmx,nb,5300,https://github.com/xwmx/nb
57,denysdovhan,bash-handbook,5200,https://github.com/denysdovhan/bash-handbook
58,hyperupcall,autoenv,5200,https://github.com/hyperupcall/autoenv
59,v1s1t0r1sh3r3,airgeddon,4900,https://github.com/v1s1t0r1sh3r3/airgeddon
60,dschep,ntfy,4500,https://github.com/dschep/ntfy
61,xxh,xxh,4300,https://github.com/xxh/xxh
62,nojhan,liquidprompt,4300,https://github.com/nojhan/liquidprompt
63,89luca89,distrobox,4200,https://github.com/89luca89/distrobox
64,LazoCoder,Pokemon-Terminal,4100,https://github.com/LazoCoder/Pokemon-Terminal
65,TheLocehiliosan,yadm,4000,https://github.com/TheLocehiliosan/yadm
66,bats-core,bats-core,3800,https://github.com/bats-core/bats-core
67,dylanaraps,fff,3800,https://github.com/dylanaraps/fff
68,wfxr,forgit,3800,https://github.com/wfxr/forgit
69,Gictorbit,photoshopCClinux,3800,https://github.com/Gictorbit/photoshopCClinux
70,MichaIng,DietPi,3800,https://github.com/MichaIng/DietPi
71,DDoSolitary,LxRunOffline,3700,https://github.com/DDoSolitary/LxRunOffline
72,tfutils,tfenv,3700,https://github.com/tfutils/tfenv
73,GameServerManagers,LinuxGSM,3600,https://github.com/GameServerManagers/LinuxGSM
74,KittyKatt,screenFetch,3600,https://github.com/KittyKatt/screenFetch
75,fishercoder1534,Leetcode,3500,https://github.com/fishercoder1534/Leetcode
76,dvorka,hstr,3500,https://github.com/dvorka/hstr
77,jeroenjanssens,data-science-at-the-command-line,3500,https://github.com/jeroenjanssens/data-science-at-the-command-line
78,mattallty,Caporal.js,3400,https://github.com/mattallty/Caporal.js
79,sloria,doitlive,3300,https://github.com/sloria/doitlive
80,babashka,babashka,3300,https://github.com/babashka/babashka
81,sdushantha,tmpmail,3100,https://github.com/sdushantha/tmpmail
82,jessfraz,dotfiles,3100,https://github.com/jessfraz/dotfiles
83,jonmosco,kube-ps1,3100,https://github.com/jonmosco/kube-ps1
84,erikw,tmux-powerline,3000,https://github.com/erikw/tmux-powerline
85,leebaird,discover,3000,https://github.com/leebaird/discover
86,Slackadays,Clipboard,3000,https://github.com/Slackadays/Clipboard
87,ingydotnet,git-subrepo,2900,https://github.com/ingydotnet/git-subrepo
88,johanhaleby,kubetail,2900,https://github.com/johanhaleby/kubetail
89,laurent22,rsync-time-backup,2900,https://github.com/laurent22/rsync-time-backup
90,gwen001,pentest-tools,2800,https://github.com/gwen001/pentest-tools
91,Nyr,wireguard-install,2700,https://github.com/Nyr/wireguard-install
92,trinib,Linux-Bash-Commands,2700,https://github.com/trinib/Linux-Bash-Commands
93,wslutilities,wslu,2700,https://github.com/wslutilities/wslu
94,skywind3000,z.lua,2600,https://github.com/skywind3000/z.lua
95,justjanne,powerline-go,2600,https://github.com/justjanne/powerline-go
96,jamesob,desk,2500,https://github.com/jamesob/desk
97,scop,bash-completion,2400,https://github.com/scop/bash-completion
98,micromatch,micromatch,2400,https://github.com/micromatch/micromatch
99,b4b4r07,enhancd,2300,https://github.com/b4b4r07/enhancd
