,Username,Repo_name,Stars,Repo_url
0,bitcoin,bitcoin,68700,https://github.com/bitcoin/bitcoin
1,ccxt,ccxt,27600,https://github.com/ccxt/ccxt
2,freqtrade,freqtrade,21000,https://github.com/freqtrade/freqtrade
3,HelloZeroNet,ZeroNet,17800,https://github.com/HelloZeroNet/ZeroNet
4,solana-labs,solana,10100,https://github.com/solana-labs/solana
5,askmike,gekko,9900,https://github.com/askmike/gekko
6,bbfamily,abu,9700,https://github.com/bbfamily/abu
7,dvf,blockchain,7300,https://github.com/dvf/blockchain
8,lbryio,lbry-sdk,7200,https://github.com/lbryio/lbry-sdk
9,lightningnetwork,lnd,6800,https://github.com/lightningnetwork/lnd
10,yeasy,blockchain_guide,6400,https://github.com/yeasy/blockchain_guide
11,spesmilo,electrum,6200,https://github.com/spesmilo/electrum
12,butor,blackbird,5700,https://github.com/butor/blackbird
13,btcsuite,btcd,5200,https://github.com/btcsuite/btcd
14,bitcoinjs,bitcoinjs-lib,4900,https://github.com/bitcoinjs/bitcoinjs-lib
15,bitcoinj,bitcoinj,4500,https://github.com/bitcoinj/bitcoinj
16,jesse-ai,jesse,4500,https://github.com/jesse-ai/jesse
17,btcpayserver,btcpayserver,4500,https://github.com/btcpayserver/btcpayserver
18,CryptoSignal,Crypto-Signal,4300,https://github.com/CryptoSignal/Crypto-Signal
19,bisq-network,bisq,4300,https://github.com/bisq-network/bisq
20,getumbrel,umbrel,4200,https://github.com/getumbrel/umbrel
21,coinpride,CryptoList,3900,https://github.com/coinpride/CryptoList
22,RomelTorres,alpha_vantage,3900,https://github.com/RomelTorres/alpha_vantage
23,michaelgrosner,tribeca,3800,https://github.com/michaelgrosner/tribeca
24,Scanate,EthList,3800,https://github.com/Scanate/EthList
25,Jeiwan,blockchain_go,3700,https://github.com/Jeiwan/blockchain_go
26,Zheaoli,awesome-coins,3700,https://github.com/Zheaoli/awesome-coins
27,bitpay,wallet,3600,https://github.com/bitpay/wallet
28,cointop-sh,cointop,3600,https://github.com/cointop-sh/cointop
29,SqueezerIO,squeezer,3300,https://github.com/SqueezerIO/squeezer
30,bitcoin-wallet,bitcoin-wallet,3200,https://github.com/bitcoin-wallet/bitcoin-wallet
31,ctubio,Krypto-trading-bot,3000,https://github.com/ctubio/Krypto-trading-bot
32,Xel,Blockchain-stuff,2900,https://github.com/Xel/Blockchain-stuff
33,bcoin-org,bcoin,2800,https://github.com/bcoin-org/bcoin
34,stacks-network,stacks-blockchain,2800,https://github.com/stacks-network/stacks-blockchain
35,tahowallet,extension,2800,https://github.com/tahowallet/extension
36,yjjnls,awesome-blockchain,2800,https://github.com/yjjnls/awesome-blockchain
37,lbryio,lbrycrd,2700,https://github.com/lbryio/lbrycrd
38,BlockchainCommons,Learning-Bitcoin-from-the-Command-Line,2600,https://github.com/BlockchainCommons/Learning-Bitcoin-from-the-Command-Line
39,lnbook,lnbook,2600,https://github.com/lnbook/lnbook
40,imfly,bitcoin-on-nodejs,2500,https://github.com/imfly/bitcoin-on-nodejs
41,freqtrade,freqtrade-strategies,2500,https://github.com/freqtrade/freqtrade-strategies
42,spothq,cryptocurrency-icons,2400,https://github.com/spothq/cryptocurrency-icons
43,yasinkuyu,binance-trader,2300,https://github.com/yasinkuyu/binance-trader
44,liuchengxu,blockchain-tutorial,2300,https://github.com/liuchengxu/blockchain-tutorial
45,trustwallet,wallet-core,2200,https://github.com/trustwallet/wallet-core
46,rotki,rotki,2100,https://github.com/rotki/rotki
47,Drakkar-Software,OctoBot,2000,https://github.com/Drakkar-Software/OctoBot
48,stacks-network,stacks,2000,https://github.com/stacks-network/stacks
49,BlueWallet,BlueWallet,1900,https://github.com/BlueWallet/BlueWallet
50,lightning,bolts,1800,https://github.com/lightning/bolts
51,tvjsx,trading-vue-js,1800,https://github.com/tvjsx/trading-vue-js
52,zkSNACKs,WalletWasabi,1800,https://github.com/zkSNACKs/WalletWasabi
53,danpaquin,coinbasepro-python,1800,https://github.com/danpaquin/coinbasepro-python
54,cosme12,SimpleCoin,1800,https://github.com/cosme12/SimpleCoin
55,mop-tracker,mop,1700,https://github.com/mop-tracker/mop
56,ta4j,ta4j,1700,https://github.com/ta4j/ta4j
57,bmoscon,cryptofeed,1700,https://github.com/bmoscon/cryptofeed
58,exchange-core,exchange-core,1600,https://github.com/exchange-core/exchange-core
59,bichenkk,coinmon,1600,https://github.com/bichenkk/coinmon
60,jpantunes,awesome-cryptoeconomics,1600,https://github.com/jpantunes/awesome-cryptoeconomics
61,julienr,ipynb_playground,1500,https://github.com/julienr/ipynb_playground
62,life-itself,web3,1500,https://github.com/life-itself/web3
63,dashpay,dash,1500,https://github.com/dashpay/dash
64,jakubroztocil,cointrol,1400,https://github.com/jakubroztocil/cointrol
65,bitcoin-dot-org,Bitcoin.org,1400,https://github.com/bitcoin-dot-org/Bitcoin.org
66,OneKeyHQ,app-monorepo,1400,https://github.com/OneKeyHQ/app-monorepo
67,richardkiss,pycoin,1300,https://github.com/richardkiss/pycoin
68,citp,BlockSci,1300,https://github.com/citp/BlockSci
69,casey,ord,1200,https://github.com/casey/ord
70,mempool,mempool,1200,https://github.com/mempool/mempool
71,exonum,exonum,1200,https://github.com/exonum/exonum
72,adshao,go-binance,1200,https://github.com/adshao/go-binance
73,qtumproject,qtum,1200,https://github.com/qtumproject/qtum
74,rodrigo-brito,ninjabot,1200,https://github.com/rodrigo-brito/ninjabot
75,janoside,btc-rpc-explorer,1200,https://github.com/janoside/btc-rpc-explorer
76,micro,services,1200,https://github.com/micro/services
77,shobrook,BitVision,1100,https://github.com/shobrook/BitVision
78,ofek,bit,1100,https://github.com/ofek/bit
79,stacks-network,blockstack-browser,1100,https://github.com/stacks-network/blockstack-browser
80,raspibolt,raspibolt,1100,https://github.com/raspibolt/raspibolt
81,Bitcoin-ABC,bitcoin-abc,1100,https://github.com/Bitcoin-ABC/bitcoin-abc
82,JumpCrypto,crypto-reading-list,1100,https://github.com/JumpCrypto/crypto-reading-list
