,Username,Repo_name,Stars,Repo_url
0,ccxt,ccxt,27600,https://github.com/ccxt/ccxt
1,discordjs,discord.js,22000,https://github.com/discordjs/discord.js
2,python-telegram-bot,python-telegram-bot,21400,https://github.com/python-telegram-bot/python-telegram-bot
3,hubotio,hubot,16400,https://github.com/hubotio/hubot
4,RasaHQ,rasa,15800,https://github.com/RasaHQ/rasa
5,wechaty,wechaty,15400,https://github.com/wechaty/wechaty
6,InstaPy,InstaPy,15200,https://github.com/InstaPy/InstaPy
7,gunthercox,ChatterBot,13000,https://github.com/gunthercox/ChatterBot
8,tgbot-collection,YYeTsBot,12600,https://github.com/tgbot-collection/YYeTsBot
9,Rapptz,discord.py,12400,https://github.com/Rapptz/discord.py
10,leon-ai,leon,12100,https://github.com/leon-ai/leon
11,howdyai,botkit,11000,https://github.com/howdyai/botkit
12,botpress,botpress,10100,https://github.com/botpress/botpress
13,pedroslopez,whatsapp-web.js,9600,https://github.com/pedroslopez/whatsapp-web.js
14,sfyc23,EverydayWechat,9400,https://github.com/sfyc23/EverydayWechat
15,Mrs4s,go-cqhttp,7500,https://github.com/Mrs4s/go-cqhttp
16,microsoft,ailab,7300,https://github.com/microsoft/ailab
17,microsoft,botframework-sdk,7000,https://github.com/microsoft/botframework-sdk
18,yagop,node-telegram-bot-api,7000,https://github.com/yagop/node-telegram-bot-api
19,EZFNDEV,EZFN-Lobbybot,6900,https://github.com/EZFNDEV/EZFN-Lobbybot
20,telegraf,telegraf,6500,https://github.com/telegraf/telegraf
21,maxbbraun,trump2cash,6200,https://github.com/maxbbraun/trump2cash
22,deeppavlov,DeepPavlov,6100,https://github.com/deeppavlov/DeepPavlov
23,botman,botman,5800,https://github.com/botman/botman
24,Prince-Mendiratta,BotsApp,5500,https://github.com/Prince-Mendiratta/BotsApp
25,axa-group,nlp.js,5500,https://github.com/axa-group/nlp.js
26,jef,streetmerchant,4900,https://github.com/jef/streetmerchant
27,orkestral,venom,4600,https://github.com/orkestral/venom
28,jesse-ai,jesse,4500,https://github.com/jesse-ai/jesse
29,ohld,igbot,4400,https://github.com/ohld/igbot
30,chrisleekr,binance-trading-bot,4400,https://github.com/chrisleekr/binance-trading-bot
31,Yoctol,bottender,4000,https://github.com/Yoctol/bottender
32,goq,telegram-list,4000,https://github.com/goq/telegram-list
33,nonebot,nonebot2,3900,https://github.com/nonebot/nonebot2
34,Cog-Creators,Red-DiscordBot,3800,https://github.com/Cog-Creators/Red-DiscordBot
35,PokemonGoF,PokemonGo-Bot,3800,https://github.com/PokemonGoF/PokemonGo-Bot
36,snipsco,snips-nlu,3800,https://github.com/snipsco/snips-nlu
37,PrismarineJS,mineflayer,3600,https://github.com/PrismarineJS/mineflayer
38,DV8FromTheWorld,JDA,3600,https://github.com/DV8FromTheWorld/JDA
39,aiogram,aiogram,3500,https://github.com/aiogram/aiogram
40,niespodd,browser-fingerprinting,3400,https://github.com/niespodd/browser-fingerprinting
41,LmeSzinc,AzurLaneAutoScript,3200,https://github.com/LmeSzinc/AzurLaneAutoScript
42,discord-net,Discord.Net,2900,https://github.com/discord-net/Discord.Net
43,luolongfei,freenom,2900,https://github.com/luolongfei/freenom
44,lss233,chatgpt-mirai-qq-bot,2800,https://github.com/lss233/chatgpt-mirai-qq-bot
45,Haehnchen,crypto-trading-bot,2800,https://github.com/Haehnchen/crypto-trading-bot
46,botui,botui,2700,https://github.com/botui/botui
47,open-wa,wa-automate-nodejs,2700,https://github.com/open-wa/wa-automate-nodejs
48,irazasyed,telegram-bot-sdk,2600,https://github.com/irazasyed/telegram-bot-sdk
49,TelegramBots,Telegram.Bot,2600,https://github.com/TelegramBots/Telegram.Bot
50,eatmoreapple,openwechat,2500,https://github.com/eatmoreapple/openwechat
51,TeamUltroid,Ultroid,2400,https://github.com/TeamUltroid/Ultroid
52,RasaHQ,rasa_core,2300,https://github.com/RasaHQ/rasa_core
53,slackapi,hubot-slack,2300,https://github.com/slackapi/hubot-slack
54,danog,MadelineProto,2300,https://github.com/danog/MadelineProto
55,anasty17,mirror-leech-telegram-bot,2300,https://github.com/anasty17/mirror-leech-telegram-bot
56,koishijs,novelai-bot,2200,https://github.com/koishijs/novelai-bot
57,nikoksr,notify,2100,https://github.com/nikoksr/notify
58,askrella,whatsapp-chatgpt,2100,https://github.com/askrella/whatsapp-chatgpt
59,TBXark,ChatGPT-Telegram-Workers,2000,https://github.com/TBXark/ChatGPT-Telegram-Workers
60,nonebot,nonebot,2000,https://github.com/nonebot/nonebot
61,koishijs,koishi,2000,https://github.com/koishijs/koishi
62,V4NSH4J,discord-mass-DM-GO,1900,https://github.com/V4NSH4J/discord-mass-DM-GO
63,bottenderjs,messaging-apis,1800,https://github.com/bottenderjs/messaging-apis
64,hexsum,Mojo-Webqq,1700,https://github.com/hexsum/Mojo-Webqq
65,dongweiming,wechat-admin,1700,https://github.com/dongweiming/wechat-admin
66,cixingguangming55555,wechat-bot,1700,https://github.com/cixingguangming55555/wechat-bot
67,songtianyi,wechat-go,1700,https://github.com/songtianyi/wechat-go
68,kubeshop,botkube,1700,https://github.com/kubeshop/botkube
69,microsoft,BotFramework-Emulator,1700,https://github.com/microsoft/BotFramework-Emulator
70,kalliope-project,kalliope,1600,https://github.com/kalliope-project/kalliope
71,line,line-bot-sdk-python,1600,https://github.com/line/line-bot-sdk-python
72,anouarbensaad,vulnx,1600,https://github.com/anouarbensaad/vulnx
73,Discord4J,Discord4J,1600,https://github.com/Discord4J/Discord4J
74,brndnmtthws,thetagang,1600,https://github.com/brndnmtthws/thetagang
75,nodeWechat,wechat4u,1500,https://github.com/nodeWechat/wechat4u
76,1tayH,noisy,1500,https://github.com/1tayH/noisy
77,blankly-finance,blankly,1500,https://github.com/blankly-finance/blankly
78,Zero6992,chatGPT-discord-bot,1500,https://github.com/Zero6992/chatGPT-discord-bot
79,modmail-dev,modmail,1500,https://github.com/modmail-dev/modmail
80,jakubroztocil,cointrol,1400,https://github.com/jakubroztocil/cointrol
81,abalabahaha,eris,1400,https://github.com/abalabahaha/eris
82,mullwar,telebot,1400,https://github.com/mullwar/telebot
83,iovxw,rssbot,1400,https://github.com/iovxw/rssbot
84,pengrad,java-telegram-bot-api,1400,https://github.com/pengrad/java-telegram-bot-api
85,microsoft,BotFramework-WebChat,1400,https://github.com/microsoft/BotFramework-WebChat
86,discordjs,guide,1300,https://github.com/discordjs/guide
87,botuniverse,onebot,1300,https://github.com/botuniverse/onebot
88,CodeXBotz,File-Sharing-Bot,1300,https://github.com/CodeXBotz/File-Sharing-Bot
89,swapagarwal,JARVIS-on-Messenger,1300,https://github.com/swapagarwal/JARVIS-on-Messenger
90,Ice-Cirno,HoshinoBot,1300,https://github.com/Ice-Cirno/HoshinoBot
91,Netflix,hubcommander,1300,https://github.com/Netflix/hubcommander
92,hexsum,Mojo-Weixin,1200,https://github.com/hexsum/Mojo-Weixin
93,LlmKira,Openaibot,1200,https://github.com/LlmKira/Openaibot
94,rampatra,jbot,1200,https://github.com/rampatra/jbot
95,codigoencasa,bot-whatsapp,1200,https://github.com/codigoencasa/bot-whatsapp
96,rodrigo-brito,ninjabot,1200,https://github.com/rodrigo-brito/ninjabot
97,xHak9x,fbi,1200,https://github.com/xHak9x/fbi
98,paulpierre,informer,1200,https://github.com/paulpierre/informer
99,artyshko,smd,1100,https://github.com/artyshko/smd
