,Username,Repo_name,Stars,Repo_url
0,Genymobile,scrcpy,79300,https://github.com/Genymobile/scrcpy
1,neovim,neovim,63700,https://github.com/neovim/neovim
2,obsproject,obs-studio,46300,https://github.com/obsproject/obs-studio
3,git,git,45600,https://github.com/git/git
4,fffaraz,awesome-cpp,44700,https://github.com/fffaraz/awesome-cpp
5,FFmpeg,FFmpeg,34900,https://github.com/FFmpeg/FFmpeg
6,serhii-londar,open-source-mac-os-apps,34600,https://github.com/serhii-londar/open-source-mac-os-apps
7,vim,vim,29800,https://github.com/vim/vim
8,curl,curl,28800,https://github.com/curl/curl
9,huihut,interview,28000,https://github.com/huihut/interview
10,ggreer,the_silver_searcher,24700,https://github.com/ggreer/the_silver_searcher
11,pbatard,rufus,22100,https://github.com/pbatard/rufus
12,mpv-player,mpv,21800,https://github.com/mpv-player/mpv
13,ossrs,srs,21100,https://github.com/ossrs/srs
14,ruby,ruby,20100,https://github.com/ruby/ruby
15,google,flatbuffers,20100,https://github.com/google/flatbuffers
16,oracle,graal,18300,https://github.com/oracle/graal
17,microsoft,vcpkg,18100,https://github.com/microsoft/vcpkg
18,kovidgoyal,kitty,18100,https://github.com/kovidgoyal/kitty
19,radareorg,radare2,17700,https://github.com/radareorg/radare2
20,hashcat,hashcat,16800,https://github.com/hashcat/hashcat
21,jarun,nnn,16000,https://github.com/jarun/nnn
22,allinurl,goaccess,15900,https://github.com/allinurl/goaccess
23,TheAlgorithms,C,15800,https://github.com/TheAlgorithms/C
24,shadowsocks,shadowsocks-libev,15300,https://github.com/shadowsocks/shadowsocks-libev
25,qmk,qmk_firmware,14600,https://github.com/qmk/qmk_firmware
26,facebook,infer,13900,https://github.com/facebook/infer
27,vurtun,nuklear,13500,https://github.com/vurtun/nuklear
28,CoatiSoftware,Sourcetrail,13300,https://github.com/CoatiSoftware/Sourcetrail
29,lionsoul2014,ip2region,13000,https://github.com/lionsoul2014/ip2region
30,skywind3000,kcp,12800,https://github.com/skywind3000/kcp
31,reactos,reactos,12100,https://github.com/reactos/reactos
32,s-matyukevich,raspberry-pi-os,12100,https://github.com/s-matyukevich/raspberry-pi-os
33,forthespada,CS-Books,11900,https://github.com/forthespada/CS-Books
34,raysan5,raylib,11900,https://github.com/raysan5/raylib
35,lvgl,lvgl,11600,https://github.com/lvgl/lvgl
36,OpenRCT2,OpenRCT2,11500,https://github.com/OpenRCT2/OpenRCT2
37,jonas,tig,11500,https://github.com/jonas/tig
38,tree-sitter,tree-sitter,11200,https://github.com/tree-sitter/tree-sitter
39,webview,webview,11000,https://github.com/webview/webview
40,davatorium,rofi,10800,https://github.com/davatorium/rofi
41,systemd,systemd,10800,https://github.com/systemd/systemd
42,jedisct1,libsodium,10800,https://github.com/jedisct1/libsodium
43,iamshuaidi,CS-Book,10700,https://github.com/iamshuaidi/CS-Book
